Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/96, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	4	VO and NRel	-24.0	21.5	Tu	Tu	Word Order
ani	//Ani	5	Other	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
huc	=|Hoan	4	VO and NRel	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	2	OV and NRel	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
abi	Abipón	4	VO and NRel	-29.0	-61.0	South Guaicuruan	Guaicuruan	Word Order
abk	Abkhaz	1	OV and RelN	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	2	OV and NRel	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Word Order
abu	Abun	4	VO and NRel	-0.5	132.5	North-Central Bird's Head	West Papuan	Word Order
ace	Acehnese	5	Other	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	4	VO and NRel	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Word Order
acn	Achang	1	OV and RelN	25.0	98.5	Burmese-Lolo	Sino-Tibetan	Word Order
acl	Acholi	4	VO and NRel	3.0	32.6666666667	Nilotic	Eastern Sudanic	Word Order
aco	Acoma	5	Other	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adi	Adioukrou	4	VO and NRel	5.41666666667	-4.58333333333	Kwa	Niger-Congo	Word Order
adn	Adynyamathanha	5	Other	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
adz	Adzera	4	VO and NRel	-6.25	146.25	Oceanic	Austronesian	Word Order
ain	Ainu	1	OV and RelN	43.0	143.0	Ainu	Ainu	Word Order
ajg	Ajagbe	5	Other	7.0	1.75	Kwa	Niger-Congo	Word Order
akh	Akha	1	OV and RelN	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	5	Other	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	1	OV and RelN	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alw	Alawa	5	Other	-15.1666666667	134.25	Alawa	Mangarrayi-Maran	Word Order
alb	Albanian	4	VO and NRel	41.0	20.0	Albanian	Indo-European	Word Order
aly	Alyawarra	2	OV and NRel	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
aml	Ambae (Lolovoli Northeast)	4	VO and NRel	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	4	VO and NRel	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	1	OV and RelN	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
amt	Amdo (Themchen)	5	Other	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ame	Amele	2	OV and NRel	-5.25	145.583333333	Madang	Trans-New Guinea	Word Order
amh	Amharic	1	OV and RelN	10.0	38.0	Semitic	Afro-Asiatic	Word Order
ami	Amis	3	VO and RelN	23.3333333333	121.333333333	East Formosan	Austronesian	Word Order
amo	Amo	4	VO and NRel	10.3333333333	8.66666666667	Kainji	Niger-Congo	Word Order
anj	Anejom	4	VO and NRel	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	2	OV and NRel	25.6666666667	94.5	Kuki-Chin	Sino-Tibetan	Word Order
anc	Angas	4	VO and NRel	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
ang	Anggor	2	OV and NRel	-3.75	141.166666667	Senagi	Senagi	Word Order
anu	Anufo	4	VO and NRel	10.0833333333	0.25	Kwa	Niger-Congo	Word Order
any	Anywa	5	Other	8.0	33.5	Nilotic	Eastern Sudanic	Word Order
ao	Ao	5	Other	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
apw	Apache (Western)	2	OV and NRel	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apt	Apatani	1	OV and RelN	27.5	93.75	Tani	Sino-Tibetan	Word Order
apu	Apurinã	5	Other	-9.0	-67.0	Purus	Arawakan	Word Order
aeg	Arabic (Egyptian)	4	VO and NRel	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	4	VO and NRel	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	4	VO and NRel	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	4	VO and NRel	29.5	47.5	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	4	VO and NRel	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	4	VO and NRel	34.0	38.0	Semitic	Afro-Asiatic	Word Order
ana	Araona	2	OV and NRel	-12.3333333333	-67.75	Tacanan	Tacanan	Word Order
ara	Arawak	5	Other	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Word Order
abo	Arbore	2	OV and NRel	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Word Order
arm	Armenian (Eastern)	5	Other	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	2	OV and NRel	38.5	43.5	Armenian	Indo-European	Word Order
alk	Arop-Lokep	4	VO and NRel	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	4	VO and NRel	-10.25	161.333333333	Oceanic	Austronesian	Word Order
amp	Arrernte (Mparntwe)	2	OV and NRel	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
awe	Arrernte (Western)	5	Other	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	1	OV and RelN	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Word Order
ath	Athpare	1	OV and RelN	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
avo	Avokaya	5	Other	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Word Order
awa	Awa	1	OV and RelN	-6.66666666667	145.75	Eastern Highlands	Trans-New Guinea	Word Order
