"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"143E",0.178043061096624,0.679558011049724,0.304964539007092,"1:2:3","4",TRUE,221,10,1,"NW"
"143E",0.189464458420099,0.707182320441989,0.292604501607717,"1:2:3","4",TRUE,217,10,2,"NW"
"143E",0.0659905804169262,0.698895027624309,0.25498753117207,"1:2:3","4",TRUE,230,10,3,"NW"
"143E",0.133509617372876,0.707182320441989,0.278244028405423,"1:2:3","4",TRUE,222,10,4,"NW"
"143E",0.0880023864360158,0.668508287292818,0.280150753768844,"1:2:3","4",TRUE,217,10,5,"NW"
"143E",0.081375008905582,0.657458563535912,0.2814039408867,"1:2:3","4",TRUE,222,10,6,"NW"
"143E",0.0755940909415997,0.718232044198895,0.250156347717323,"1:2:3","4",TRUE,231,10,7,"NW"
"143E",0.100809242187172,0.68232044198895,0.279556650246305,"1:2:3","4",TRUE,221,10,8,"NW"
"143E",0.0600451380686356,0.715469613259669,0.243208279430789,"1:2:3","4",TRUE,229,10,9,"NW"
"143E",0.0581401901271338,0.68232044198895,0.257751937984496,"1:2:3","4",TRUE,223,10,10,"NW"
"143E",0.0653855149107701,0.687845303867403,0.259764414135152,"1:2:3","4",TRUE,229,10,11,"NW"
"143E",0.0718597411648744,0.668508287292818,0.271875,"1:2:3","4",TRUE,222,10,12,"NW"
"143E",0.104112230326167,0.671270718232044,0.285977859778598,"1:2:3","4",TRUE,236,10,13,"NW"
"143E",0.0468238421140012,0.649171270718232,0.262199089134678,"1:2:3","4",TRUE,226,10,14,"NW"
"143E",0.0613025793104874,0.715469613259669,0.243932794026136,"1:2:3","4",TRUE,222,10,15,"NW"
"143E",0.178864952905744,0.685082872928177,0.302311055590256,"1:2:3","4",TRUE,228,10,16,"NW"
"143E",0.105075665720463,0.657458563535912,0.292240300375469,"1:2:3","4",TRUE,222,10,17,"NW"
"143E",0.0618698620829759,0.671270718232044,0.264761904761905,"1:2:3","4",TRUE,227,10,18,"NW"
"143E",0.101742112337884,0.643646408839779,0.29620253164557,"1:2:3","4",TRUE,217,10,19,"NW"
"143E",0.118170004134851,0.657458563535912,0.297366730892742,"1:2:3","4",TRUE,226,10,20,"NW"
"143E",0.158679218175336,0.651933701657459,0.312620115310698,"1:2:3","4",TRUE,230,10,21,"NW"
"143E",0.0880023864360158,0.696132596685083,0.267396907216495,"1:2:3","4",TRUE,234,10,22,"NW"
"143E",0.0707106693797334,0.674033149171271,0.268897149938042,"1:2:3","4",TRUE,229,10,23,"NW"
"143E",0.140124685695022,0.643646408839779,0.31041257367387,"1:2:3","4",TRUE,234,10,24,"NW"
"143E",0.11002823602961,0.668508287292818,0.289522628642281,"1:2:3","4",TRUE,234,10,25,"NW"
"143E",0.13948080700578,0.68232044198895,0.293170103092784,"1:2:3","4",TRUE,226,10,26,"NW"
"143E",0.0730274857469072,0.629834254143646,0.286717752234994,"1:2:3","4",TRUE,227,10,27,"NW"
"143E",0.101041654758891,0.704419889502762,0.268627450980392,"1:2:3","4",TRUE,227,10,28,"NW"
"143E",0.108768627989609,0.665745856353591,0.290203327171904,"1:2:3","4",TRUE,233,10,29,"NW"
"143E",0.123739754751203,0.687845303867403,0.285355122564425,"1:2:3","4",TRUE,244,10,30,"NW"
"143E",0.0603223216154253,0.704419889502762,0.248924400737554,"1:2:3","4",TRUE,223,10,31,"NW"
"143E",0.126914239300108,0.709944751381215,0.274711168164313,"1:2:3","4",TRUE,240,10,32,"NW"
"143E",0.0923626850440198,0.668508287292818,0.282165605095541,"1:2:3","4",TRUE,223,10,33,"NW"
"143E",0.0718597411648744,0.660220994475138,0.275188916876574,"1:2:3","4",TRUE,229,10,34,"NW"
"143E",0.0742142065649625,0.709944751381215,0.25385089340727,"1:2:3","4",TRUE,231,10,35,"NW"
"143E",0.190777895102889,0.723756906077348,0.282758620689655,"1:2:3","4",TRUE,236,10,36,"NW"
