"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"143F",0.124310968761263,0.441988950276243,0.32807570977918,"1:2:3","4",TRUE,240,10,1,"NW"
"143F",0.157950080646842,0.488950276243094,0.344092963202066,"1:2:3","4",TRUE,227,10,2,"NW"
"143F",0.0802583910344019,0.466850828729282,0.310430980637102,"1:2:3","4",TRUE,225,10,3,"NW"
"143F",0.139802375667128,0.403314917127072,0.325524044389642,"1:2:3","4",TRUE,234,10,4,"NW"
"143F",0.150147343143815,0.466850828729282,0.34017971758665,"1:2:3","4",TRUE,226,10,5,"NW"
"143F",0.157224293535257,0.5,0.343932511356262,"1:2:3","4",TRUE,232,10,6,"NW"
"143F",0.0875980118538538,0.475138121546961,0.315085932527053,"1:2:3","4",TRUE,222,10,7,"NW"
"143F",0.0994259501553776,0.455801104972376,0.319261213720317,"1:2:3","4",TRUE,234,10,8,"NW"
"143F",0.0932173923114068,0.458563535911602,0.31659249841068,"1:2:3","4",TRUE,228,10,9,"NW"
"143F",0.158314229643997,0.433701657458564,0.338216560509554,"1:2:3","4",TRUE,227,10,10,"NW"
"143F",0.146055007594816,0.488950276243094,0.34017971758665,"1:2:3","4",TRUE,222,10,11,"NW"
"143F",0.230959778111202,0.469613259668508,0.361793611793612,"1:2:3","4",TRUE,224,10,12,"NW"
"143F",0.265180969610064,0.450276243093923,0.366349206349206,"1:2:3","4",TRUE,227,10,13,"NW"
"143F",0.294813220312178,0.430939226519337,0.368082368082368,"1:2:3","4",TRUE,232,10,14,"NW"
"143F",0.307290231683117,0.480662983425414,0.376747141041931,"1:2:3","4",TRUE,223,10,15,"NW"
"143F",0.180520136219834,0.433701657458564,0.344672657252888,"1:2:3","4",TRUE,225,10,16,"NW"
"143F",0.17439103388396,0.483425414364641,0.348697394789579,"1:2:3","4",TRUE,219,10,17,"NW"
"143F",0.188593861447551,0.497237569060773,0.35297969875573,"1:2:3","4",TRUE,231,10,18,"NW"
"143F",0.149457409931712,0.44475138121547,0.337357052096569,"1:2:3","4",TRUE,230,10,19,"NW"
"143F",0.246342391875421,0.472375690607735,0.365211810012837,"1:2:3","4",TRUE,232,10,20,"NW"
"143F",0.120644673051078,0.464088397790055,0.329389788293898,"1:2:3","4",TRUE,242,10,21,"NW"
"143F",0.267634905436967,0.469613259668508,0.369055168040583,"1:2:3","4",TRUE,234,10,22,"NW"
"143F",0.182610671139391,0.49171270718232,0.351316634553629,"1:2:3","4",TRUE,229,10,23,"NW"
"143F",0.16051682174439,0.477900552486188,0.344336569579288,"1:2:3","4",TRUE,222,10,24,"NW"
"143F",0.352821267217342,0.475138121546961,0.383120825743777,"1:2:3","4",TRUE,233,10,25,"NW"
"143F",0.0998849254928229,0.49171270718232,0.321979434447301,"1:2:3","4",TRUE,235,10,26,"NW"
"143F",0.144050858730821,0.477900552486188,0.338994121489223,"1:2:3","4",TRUE,225,10,27,"NW"
"143F",0.152236311094752,0.472375690607735,0.341321243523316,"1:2:3","4",TRUE,227,10,28,"NW"
"143F",0.166925333362481,0.458563535911602,0.344590368980613,"1:2:3","4",TRUE,224,10,29,"NW"
"143F",0.147746414990949,0.494475138121547,0.340894770006301,"1:2:3","4",TRUE,237,10,30,"NW"
"143F",0.138520532187947,0.466850828729282,0.336272040302267,"1:2:3","4",TRUE,243,10,31,"NW"
"143F",0.199769900363572,0.516574585635359,0.355444305381727,"1:2:3","4",TRUE,228,10,32,"NW"
"143F",0.145719056842539,0.44475138121547,0.336075949367089,"1:2:3","4",TRUE,230,10,33,"NW"
"143F",0.135367108194852,0.469613259668508,0.335451080050826,"1:2:3","4",TRUE,231,10,34,"NW"
"143F",0.246342391875421,0.497237569060773,0.366336633663366,"1:2:3","4",TRUE,233,10,35,"NW"
"143F",0.137884024649994,0.480662983425414,0.33704390847248,"1:2:3","4",TRUE,223,10,36,"NW"
"143F",0.102920348977219,0.516574585635359,0.323057953144266,"1:2:3","4",TRUE,231,10,37,"NW"
"143F",0.131374734448428,0.472375690607735,0.33419689119171,"1:2:3","4",TRUE,234,10,38,"NW"
"143F",0.191217727605009,0.450276243093923,0.350194552529183,"1:2:3","4",TRUE,226,10,39,"NW"
"143F",0.204894902132936,0.505524861878453,0.357097390197327,"1:2:3","4",TRUE,236,10,40,"NW"
"143F",0.203484274971792,0.480662983425414,0.356234096692112,"1:2:3","4",TRUE,236,10,41,"NW"
"143F",0.138839886965577,0.502762430939227,0.337871287128713,"1:2:3","4",TRUE,230,10,42,"NW"
"143F",0.0938636092512845,0.458563535911602,0.316849816849817,"1:2:3","4",TRUE,229,10,43,"NW"
"143F",0.106292506971441,0.475138121546961,0.324165029469548,"1:2:3","4",TRUE,228,10,44,"NW"
"143F",0.137566868514296,0.453038674033149,0.334421946440235,"1:2:3","4",TRUE,226,10,45,"NW"
"143F",0.134745090769739,0.458563535911602,0.334163036714375,"1:2:3","4",TRUE,226,10,46,"NW"
"143F",0.0934323021094172,0.464088397790055,0.317228226319135,"1:2:3","4",TRUE,239,10,47,"NW"
"143F",0.150493503172397,0.447513812154696,0.338037203335471,"1:2:3","4",TRUE,228,10,48,"NW"
"143F",0.124597563832467,0.488950276243094,0.332475884244373,"1:2:3","4",TRUE,234,10,49,"NW"
"143F",0.084623844039037,0.505524861878453,0.314176245210728,"1:2:3","4",TRUE,217,10,50,"NW"
"143F",0.152939072417595,0.458563535911602,0.340225563909774,"1:2:3","4",TRUE,229,10,51,"NW"
"143F",0.296856973010485,0.450276243093923,0.371884984025559,"1:2:3","4",TRUE,232,10,52,"NW"
"143F",0.0834626460514387,0.422651933701657,0.306045340050378,"1:2:3","4",TRUE,233,10,53,"NW"
"143F",0.169247729911713,0.494475138121547,0.347545219638243,"1:2:3","4",TRUE,223,10,54,"NW"
"143F",0.108768627989609,0.480662983425414,0.325626204238921,"1:2:3","4",TRUE,225,10,55,"NW"
"143F",0.138520532187947,0.422651933701657,0.329740012682308,"1:2:3","4",TRUE,231,10,56,"NW"
"143F",0.163125273234453,0.461325966850829,0.34375,"1:2:3","4",TRUE,230,10,57,"NW"
"143F",0.116548489861255,0.469613259668508,0.328195247270392,"1:2:3","4",TRUE,229,10,58,"NW"
"143F",0.141421373715154,0.483425414364641,0.338383838383838,"1:2:3","4",TRUE,227,10,59,"NW"
"143F",0.118170004134851,0.494475138121547,0.329981143934632,"1:2:3","4",TRUE,227,10,60,"NW"
"143F",0.148428449817579,0.480662983425414,0.340638697557921,"1:2:3","4",TRUE,234,10,61,"NW"
"143F",0.125172737706245,0.527624309392265,0.331818181818182,"1:2:3","4",TRUE,240,10,62,"NW"
"143F",0.245210438461227,0.480662983425414,0.365525672371638,"1:2:3","4",TRUE,228,10,63,"NW"
"143F",0.300294760512689,0.538674033149171,0.373957665169981,"1:2:3","4",TRUE,229,10,64,"NW"
"143F",0.348782153977801,0.502762430939227,0.383579217447081,"1:2:3","4",TRUE,231,10,65,"NW"
"143F",0.189901262834807,0.464088397790055,0.35154707044108,"1:2:3","4",TRUE,233,10,66,"NW"
"143F",0.115479860511974,0.464088397790055,0.327295440349781,"1:2:3","4",TRUE,238,10,67,"NW"
"143F",0.154710201545619,0.530386740331492,0.341869398207426,"1:2:3","4",TRUE,228,10,68,"NW"
"143F",0.217537309748786,0.502762430939227,0.360100376411543,"1:2:3","4",TRUE,223,10,69,"NW"
"143F",0.230959778111202,0.455801104972376,0.360204734484965,"1:2:3","4",TRUE,224,10,70,"NW"
"143F",0.156862651572005,0.430939226519337,0.33729662077597,"1:2:3","4",TRUE,227,10,71,"NW"
