"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"13A",0.167695902927956,0.342391304347826,0.31264367816092,"2:3","1",TRUE,119,10,1,"NW"
"13A",0.094732205794705,0.369565217391304,0.297820823244552,"2:3","1",TRUE,113,10,2,"NW"
"13A",0.683256006631875,0.293478260869565,0.344559585492228,"2:3","1",TRUE,122,10,3,"NW"
"13A",0.145049471787972,0.369565217391304,0.316901408450704,"2:3","1",TRUE,127,10,4,"NW"
"13A",0.134125931540255,0.364130434782609,0.311363636363636,"2:3","1",TRUE,115,10,5,"NW"
"13A",0.0457578959698525,0.331521739130435,0.254320987654321,"2:3","1",TRUE,107,10,6,"NW"
"13A",0.607544869613622,0.347826086956522,0.372093023255814,"2:3","1",TRUE,114,10,7,"NW"
"13A",0.160147606419929,0.391304347826087,0.328605200945626,"2:3","1",TRUE,117,10,8,"NW"
"13A",0.237978462171591,0.358695652173913,0.335483870967742,"2:3","1",TRUE,119,10,9,"NW"
"13A",0.0516977148934631,0.375,0.273809523809524,"2:3","1",TRUE,115,10,10,"NW"
"13A",0.110790991865449,0.33695652173913,0.292191435768262,"2:3","1",TRUE,112,10,11,"NW"
"13A",0.151188219252997,0.342391304347826,0.308068459657702,"2:3","1",TRUE,117,10,12,"NW"
"13A",0.165014364873204,0.375,0.324742268041237,"2:3","1",TRUE,120,10,13,"NW"
"13A",0.152587287173957,0.364130434782609,0.317258883248731,"2:3","1",TRUE,117,10,14,"NW"
"13A",0.0649353593318935,0.271739130434783,0.239185750636132,"2:3","1",TRUE,114,10,15,"NW"
"13A",0.133817419642288,0.304347826086957,0.28463476070529,"2:3","1",TRUE,115,10,16,"NW"
"13A",0.0601835702664676,0.364130434782609,0.276744186046512,"2:3","1",TRUE,120,10,17,"NW"
"13A",0.383317243000617,0.271739130434783,0.307317073170732,"2:3","1",TRUE,118,10,18,"NW"
"13A",0.101742112337884,0.358695652173913,0.297101449275362,"2:3","1",TRUE,117,10,19,"NW"
"13A",0.368601124388172,0.326086956521739,0.33953488372093,"2:3","1",TRUE,116,10,20,"NW"
"13A",0.0538856526524764,0.320652173913043,0.256124721603563,"2:3","1",TRUE,119,10,21,"NW"
"13A",0.151886142318765,0.375,0.320843091334895,"2:3","1",TRUE,113,10,22,"NW"
"13A",0.250922701139454,0.364130434782609,0.340044742729307,"2:3","1",TRUE,115,10,23,"NW"
"13A",0.141747416292681,0.353260869565217,0.309734513274336,"2:3","1",TRUE,115,10,24,"NW"
"13A",0.113895260058552,0.353260869565217,0.3,"2:3","1",TRUE,120,10,25,"NW"
"13A",0.186005999659031,0.309782608695652,0.30126582278481,"2:3","1",TRUE,118,10,26,"NW"
"13A",0.0678395796575991,0.375,0.285067873303167,"2:3","1",TRUE,125,10,27,"NW"
"13A",0.203953401637408,0.309782608695652,0.305239179954442,"2:3","1",TRUE,113,10,28,"NW"
