"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"143E",0.223632517852766,0.727650727650728,0.286579768680007,"1:2:3","4",TRUE,595,10,1,"OW"
"143E",0.258548042561584,0.717255717255717,0.299091414796959,"1:2:3","4",TRUE,609,10,2,"OW"
"143E",0.398620891418824,0.72972972972973,0.30772012294341,"1:2:3","4",TRUE,620,10,3,"OW"
"143E",0.335391888756069,0.727650727650728,0.302471412762818,"1:2:3","4",TRUE,602,10,4,"OW"
"143E",0.249769701015962,0.697505197505197,0.309712230215827,"1:2:3","4",TRUE,611,10,5,"OW"
"143E",0.303073632890058,0.737006237006237,0.291964122277137,"1:2:3","4",TRUE,618,10,6,"OW"
"143E",0.296856973010485,0.72037422037422,0.302614500278138,"1:2:3","4",TRUE,619,10,7,"OW"
"143E",0.262145166316023,0.716216216216216,0.300348176653839,"1:2:3","4",TRUE,606,10,8,"OW"
"143E",0.189901262834807,0.730769230769231,0.278075855689177,"1:2:3","4",TRUE,612,10,9,"OW"
"143E",0.147406573721007,0.685031185031185,0.294162100887965,"1:2:3","4",TRUE,615,10,10,"OW"
"143E",0.281543142972492,0.70997920997921,0.307174071376548,"1:2:3","4",TRUE,608,10,11,"OW"
"143E",0.203016227375348,0.717255717255717,0.289304714731242,"1:2:3","4",TRUE,632,10,12,"OW"
"143E",0.230959778111202,0.722453222453222,0.291165030561215,"1:2:3","4",TRUE,620,10,13,"OW"
"143E",0.246910326596256,0.694386694386694,0.311041704942128,"1:2:3","4",TRUE,610,10,14,"OW"
"143E",0.272611112038758,0.70997920997921,0.3058646049406,"1:2:3","4",TRUE,603,10,15,"OW"
"143E",0.237978462171591,0.701663201663202,0.305295950155763,"1:2:3","4",TRUE,601,10,16,"OW"
"143E",0.23525407436792,0.721413721413721,0.292619926199262,"1:2:3","4",TRUE,607,10,17,"OW"
"143E",0.265792336085804,0.704781704781705,0.308034061458719,"1:2:3","4",TRUE,618,10,18,"OW"
"143E",0.316628537550337,0.727650727650728,0.300294225818316,"1:2:3","4",TRUE,617,10,19,"OW"
"143E",0.246910326596256,0.721413721413721,0.294576455650281,"1:2:3","4",TRUE,610,10,20,"OW"
"143E",0.223632517852766,0.713097713097713,0.295787715717202,"1:2:3","4",TRUE,601,10,21,"OW"
"143E",0.153999301811647,0.711018711018711,0.281842818428184,"1:2:3","4",TRUE,608,10,22,"OW"
"143E",0.134125931540255,0.686070686070686,0.289604415823367,"1:2:3","4",TRUE,613,10,23,"OW"
"143E",0.239628215611031,0.725571725571726,0.290676416819013,"1:2:3","4",TRUE,622,10,24,"OW"
"143E",0.28480358684358,0.706860706860707,0.309611829944547,"1:2:3","4",TRUE,602,10,25,"OW"
"143E",0.222092888996634,0.714137214137214,0.294904228406216,"1:2:3","4",TRUE,620,10,26,"OW"
"143E",0.234712950961324,0.712058212058212,0.29846269216348,"1:2:3","4",TRUE,596,10,27,"OW"
"143E",0.204894902132936,0.703742203742204,0.297817240103589,"1:2:3","4",TRUE,612,10,28,"OW"
"143E",0.35855472960588,0.727650727650728,0.305147058823529,"1:2:3","4",TRUE,604,10,29,"OW"
"143E",0.324004509753071,0.748440748440748,0.286138981791156,"1:2:3","4",TRUE,606,10,30,"OW"
"143E",0.30870876112699,0.718295218295218,0.305524449421426,"1:2:3","4",TRUE,623,10,31,"OW"
"143E",0.226743869361225,0.700623700623701,0.303816228232679,"1:2:3","4",TRUE,608,10,32,"OW"
"143E",0.211121495332047,0.714137214137214,0.292781238548919,"1:2:3","4",TRUE,601,10,33,"OW"
"143E",0.186005999659031,0.721413721413721,0.283205268935236,"1:2:3","4",TRUE,616,10,34,"OW"
"143E",0.390444361909437,0.70997920997921,0.320424501954943,"1:2:3","4",TRUE,608,10,35,"OW"
"143E",0.179690638775366,0.701663201663202,0.293556085918854,"1:2:3","4",TRUE,602,10,36,"OW"
