"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"143F",0.156501841445275,0.466735966735967,0.342271880819367,"1:2:3","4",TRUE,605,10,1,"OW"
"143F",0.161629582858754,0.477130977130977,0.344628695025234,"1:2:3","4",TRUE,619,10,2,"OW"
"143F",0.226222320838237,0.477130977130977,0.361243144424132,"1:2:3","4",TRUE,604,10,3,"OW"
"143F",0.18472541574736,0.486486486486487,0.351757883291047,"1:2:3","4",TRUE,614,10,4,"OW"
"143F",0.192100437007492,0.466735966735967,0.35233541743288,"1:2:3","4",TRUE,598,10,5,"OW"
"143F",0.172792048111757,0.449064449064449,0.345083152566884,"1:2:3","4",TRUE,612,10,6,"OW"
"143F",0.202549256366039,0.462577962577963,0.354511278195489,"1:2:3","4",TRUE,606,10,7,"OW"
"143F",0.260940598503854,0.425155925155925,0.36089001447178,"1:2:3","4",TRUE,607,10,8,"OW"
"143F",0.150840461262156,0.481288981288981,0.341481211236775,"1:2:3","4",TRUE,606,10,9,"OW"
"143F",0.268251929385415,0.444906444906445,0.366046768550911,"1:2:3","4",TRUE,602,10,10,"OW"
"143F",0.198851949461788,0.466735966735967,0.354075691411936,"1:2:3","4",TRUE,604,10,11,"OW"
"143F",0.179277320490236,0.462577962577963,0.34850166481687,"1:2:3","4",TRUE,628,10,12,"OW"
"143F",0.169637925287782,0.448024948024948,0.343986698688343,"1:2:3","4",TRUE,624,10,13,"OW"
"143F",0.248621998975422,0.486486486486487,0.36646884272997,"1:2:3","4",TRUE,594,10,14,"OW"
"143F",0.260340391829598,0.485446985446985,0.368688703232837,"1:2:3","4",TRUE,588,10,15,"OW"
"143F",0.241289405742624,0.43970893970894,0.359978150036417,"1:2:3","4",TRUE,605,10,16,"OW"
"143F",0.284148491336573,0.441787941787942,0.368372943327239,"1:2:3","4",TRUE,611,10,17,"OW"
"143F",0.200230463654082,0.462577962577963,0.353950009122423,"1:2:3","4",TRUE,598,10,18,"OW"
"143F",0.223118125954512,0.475051975051975,0.360445987936392,"1:2:3","4",TRUE,612,10,19,"OW"
"143F",0.176817299131726,0.452182952182952,0.346596266264379,"1:2:3","4",TRUE,598,10,20,"OW"
"143F",0.20822451212002,0.470893970893971,0.356686735997081,"1:2:3","4",TRUE,626,10,21,"OW"
"143F",0.213075174745719,0.446985446985447,0.355076574021554,"1:2:3","4",TRUE,609,10,22,"OW"
"143F",0.159411721587109,0.498960498960499,0.344613133345528,"1:2:3","4",TRUE,598,10,23,"OW"
"143F",0.356907155888411,0.470893970893971,0.383408476104599,"1:2:3","4",TRUE,598,10,24,"OW"
"143F",0.237978462171591,0.454261954261954,0.361537005489305,"1:2:3","4",TRUE,602,10,25,"OW"
"143F",0.190777895102889,0.442827442827443,0.348884758364312,"1:2:3","4",TRUE,611,10,26,"OW"
"143F",0.171602437468647,0.462577962577963,0.346339650687477,"1:2:3","4",TRUE,602,10,27,"OW"
"143F",0.186864650406919,0.468814968814969,0.351202496787222,"1:2:3","4",TRUE,628,10,28,"OW"
"143F",0.197028682342586,0.461538461538462,0.35300566416956,"1:2:3","4",TRUE,613,10,29,"OW"
"143F",0.201154778126097,0.46049896049896,0.353969139245213,"1:2:3","4",TRUE,614,10,30,"OW"
"143F",0.16577611292472,0.470893970893971,0.345418108945163,"1:2:3","4",TRUE,601,10,31,"OW"
"143F",0.189028658728023,0.486486486486487,0.352897335569219,"1:2:3","4",TRUE,612,10,32,"OW"
"143F",0.176410590004548,0.444906444906445,0.345400812707795,"1:2:3","4",TRUE,605,10,33,"OW"
"143F",0.158679218175336,0.456340956340956,0.341842397336293,"1:2:3","4",TRUE,621,10,34,"OW"
"143F",0.215542717163005,0.429313929313929,0.352486187845304,"1:2:3","4",TRUE,615,10,35,"OW"
"143F",0.215542717163005,0.449064449064449,0.3559510567297,"1:2:3","4",TRUE,621,10,36,"OW"
"143F",0.182610671139391,0.462577962577963,0.349437580674903,"1:2:3","4",TRUE,595,10,37,"OW"
"143F",0.237431072220991,0.442827442827443,0.35970040189989,"1:2:3","4",TRUE,618,10,38,"OW"
