"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep","hemisphere"
"8A",0.969613514038032,0.906849315068493,0.145478374836173,"2:3:4:5","1",TRUE,222,10,1,"OW"
"8A",0.438090823622924,0.887671232876712,0.157394843962008,"2:3:4:5","1",TRUE,230,10,2,"OW"
"8A",0.0793395894769789,0.887671232876712,0.124147339699864,"2:3:4:5","1",TRUE,230,10,3,"OW"
"8A",0.183031674360743,0.89041095890411,0.137199434229137,"2:3:4:5","1",TRUE,220,10,4,"OW"
"8A",0.0601835702664676,0.86027397260274,0.143654114365411,"2:3:4:5","1",TRUE,224,10,5,"OW"
"8A",0.108019795396288,0.887671232876712,0.129905277401894,"2:3:4:5","1",TRUE,241,10,6,"OW"
"8A",0.573556039996782,0.871232876712329,0.182857142857143,"2:3:4:5","1",TRUE,232,10,7,"OW"
"8A",0.118170004134851,0.898630136986301,0.12027027027027,"2:3:4:5","1",TRUE,244,10,8,"OW"
"8A",0.786302323428391,0.879452054794521,0.178826895565093,"2:3:4:5","1",TRUE,232,10,9,"OW"
"8A",1.10307301515268,0.887671232876712,0.17379679144385,"2:3:4:5","1",TRUE,243,10,10,"OW"
"8A",0.372012091269781,0.89041095890411,0.150943396226415,"2:3:4:5","1",TRUE,227,10,11,"OW"
"8A",0.179277320490236,0.863013698630137,0.165753424657534,"2:3:4:5","1",TRUE,232,10,12,"OW"
"8A",0.0861972775591844,0.854794520547945,0.156462585034014,"2:3:4:5","1",TRUE,227,10,13,"OW"
"8A",0.510000682253342,0.882191780821918,0.16711590296496,"2:3:4:5","1",TRUE,227,10,14,"OW"
"8A",0.0463945158139462,0.873972602739726,0.126656848306333,"2:3:4:5","1",TRUE,240,10,15,"OW"
"8A",0.856235557891998,0.893150684931507,0.162346521145975,"2:3:4:5","1",TRUE,223,10,16,"OW"
"8A",0.347179485646949,0.873972602739726,0.168882978723404,"2:3:4:5","1",TRUE,236,10,17,"OW"
"8A",0.232560875474527,0.915068493150685,0.112970711297071,"2:3:4:5","1",TRUE,219,10,18,"OW"
"8A",0.149113633089502,0.904109589041096,0.118402282453638,"2:3:4:5","1",TRUE,233,10,19,"OW"
"8A",0.228842115345371,0.89041095890411,0.141546526867628,"2:3:4:5","1",TRUE,239,10,20,"OW"
"8A",0.203016227375348,0.879452054794521,0.151260504201681,"2:3:4:5","1",TRUE,233,10,21,"OW"
"8A",0.0585432391163435,0.887671232876712,0.118668596237337,"2:3:4:5","1",TRUE,231,10,22,"OW"
"8A",0.288101788672914,0.920547945205479,0.109439124487004,"2:3:4:5","1",TRUE,227,10,23,"OW"
"8A",0.254413735145567,0.904109589041096,0.127600554785021,"2:3:4:5","1",TRUE,232,10,24,"OW"
"8A",0.552807921196648,0.906849315068493,0.137085137085137,"2:3:4:5","1",TRUE,224,10,25,"OW"
"8A",0.116548489861255,0.882191780821918,0.136912751677852,"2:3:4:5","1",TRUE,233,10,26,"OW"
"8A",0.125750566728124,0.89041095890411,0.13,"2:3:4:5","1",TRUE,226,10,27,"OW"
"8A",0.0956088401704786,0.876712328767123,0.138312586445367,"2:3:4:5","1",TRUE,229,10,28,"OW"
"8A",0.347979897150465,0.879452054794521,0.16260162601626,"2:3:4:5","1",TRUE,243,10,29,"OW"
"8A",0.067995981698032,0.89041095890411,0.118733509234828,"2:3:4:5","1",TRUE,228,10,30,"OW"
"8A",0.216039644191959,0.887671232876712,0.143484626647145,"2:3:4:5","1",TRUE,237,10,31,"OW"
"8A",0.33078968247836,0.884931506849315,0.155148095909732,"2:3:4:5","1",TRUE,240,10,32,"OW"
"8A",0.166158304595826,0.887671232876712,0.138297872340426,"2:3:4:5","1",TRUE,243,10,33,"OW"
"8A",0.119538485930075,0.863013698630137,0.156338028169014,"2:3:4:5","1",TRUE,230,10,34,"OW"
"8A",0.083655066585414,0.915068493150685,0.0975274725274725,"2:3:4:5","1",TRUE,235,10,35,"OW"
"8A",0.0953889239737762,0.857534246575342,0.156291390728477,"2:3:4:5","1",TRUE,230,10,36,"OW"
"8A",0.131981193456173,0.879452054794521,0.142247510668563,"2:3:4:5","1",TRUE,234,10,37,"OW"
"8A",0.11259138215898,0.849315068493151,0.167785234899329,"2:3:4:5","1",TRUE,241,10,38,"OW"
"8A",0.0798896004293523,0.849315068493151,0.159517426273458,"2:3:4:5","1",TRUE,228,10,39,"OW"
"8A",0.0586782087328646,0.835616438356164,0.163551401869159,"2:3:4:5","1",TRUE,236,10,40,"OW"
"8A",0.135367108194852,0.876712328767123,0.145560407569141,"2:3:4:5","1",TRUE,235,10,41,"OW"
"8A",0.199769900363572,0.876712328767123,0.153846153846154,"2:3:4:5","1",TRUE,224,10,42,"OW"
"8A",0.0543843005524158,0.887671232876712,0.117397454031117,"2:3:4:5","1",TRUE,221,10,43,"OW"
"8A",0.182610671139391,0.86027397260274,0.168937329700272,"2:3:4:5","1",TRUE,231,10,44,"OW"
"8A",0.264571009378661,0.90958904109589,0.121661721068249,"2:3:4:5","1",TRUE,220,10,45,"OW"
"8A",0.449329835316494,0.898630136986301,0.144257703081232,"2:3:4:5","1",TRUE,226,10,46,"OW"
"8A",0.226743869361225,0.876712328767123,0.156558533145275,"2:3:4:5","1",TRUE,234,10,47,"OW"
"8A",0.0448193079662151,0.893150684931507,0.109187749667111,"2:3:4:5","1",TRUE,231,10,48,"OW"
"8A",0.0691009389096882,0.893150684931507,0.1164095371669,"2:3:4:5","1",TRUE,241,10,49,"OW"
"8A",0.983103539989941,0.898630136986301,0.157082748948107,"2:3:4:5","1",TRUE,236,10,50,"OW"
"8A",0.732127059368483,0.912328767123288,0.133891213389121,"2:3:4:5","1",TRUE,233,10,51,"OW"
"8A",0.306583413161786,0.882191780821918,0.156779661016949,"2:3:4:5","1",TRUE,232,10,52,"OW"
"8A",0.0377970361283527,0.871232876712329,0.125181950509461,"2:3:4:5","1",TRUE,227,10,53,"OW"
"8A",0.68641008920001,0.898630136986301,0.151472650771388,"2:3:4:5","1",TRUE,234,10,54,"OW"
"8A",0.409789905555284,0.879452054794521,0.16597510373444,"2:3:4:5","1",TRUE,229,10,55,"OW"
"8A",0.244646413765164,0.882191780821918,0.152112676056338,"2:3:4:5","1",TRUE,248,10,56,"OW"
"8A",0.0302306889534083,0.873972602739726,0.118918918918919,"2:3:4:5","1",TRUE,224,10,57,"OW"
"8A",0.0471484420541405,0.879452054794521,0.122191011235955,"2:3:4:5","1",TRUE,236,10,58,"OW"
"8A",0.104592838718357,0.898630136986301,0.118120805369128,"2:3:4:5","1",TRUE,231,10,59,"OW"
"8A",0.261542188935925,0.876712328767123,0.159651669085631,"2:3:4:5","1",TRUE,224,10,60,"OW"
"8A",0.197482925840228,0.876712328767123,0.153618906942393,"2:3:4:5","1",TRUE,228,10,61,"OW"
"8A",0.273239608476718,0.879452054794521,0.157543391188251,"2:3:4:5","1",TRUE,239,10,62,"OW"
"8A",0.411681599422831,0.884931506849315,0.159533073929961,"2:3:4:5","1",TRUE,232,10,63,"OW"
"8A",0.109019390677682,0.879452054794521,0.138328530259366,"2:3:4:5","1",TRUE,227,10,64,"OW"
"8A",0.19612332745026,0.898630136986301,0.129333333333333,"2:3:4:5","1",TRUE,231,10,65,"OW"
"8A",0.0307927761508949,0.843835616438356,0.142664872139973,"2:3:4:5","1",TRUE,229,10,66,"OW"
"8A",0.116548489861255,0.854794520547945,0.163551401869159,"2:3:4:5","1",TRUE,225,10,67,"OW"
"8A",0.073364599094691,0.882191780821918,0.127922971114168,"2:3:4:5","1",TRUE,222,10,68,"OW"
"8A",0.0672175607369654,0.912328767123288,0.097165991902834,"2:3:4:5","1",TRUE,230,10,69,"OW"
"8A",0.226743869361225,0.846575342465753,0.188148148148148,"2:3:4:5","1",TRUE,225,10,70,"OW"
"8A",0.98537005461735,0.882191780821918,0.179271708683473,"2:3:4:5","1",TRUE,230,10,71,"OW"
"8A",0.156862651572005,0.884931506849315,0.140077821011673,"2:3:4:5","1",TRUE,234,10,72,"OW"
"8A",0.169637925287782,0.901369863013699,0.123655913978495,"2:3:4:5","1",TRUE,232,10,73,"OW"
"8A",0.141747416292681,0.871232876712329,0.152086137281292,"2:3:4:5","1",TRUE,231,10,74,"OW"
"8A",0.171602437468647,0.895890410958904,0.129943502824859,"2:3:4:5","1",TRUE,231,10,75,"OW"
"8A",0.768402127887986,0.901369863013699,0.149595687331536,"2:3:4:5","1",TRUE,215,10,76,"OW"
"8A",0.0511058772008913,0.873972602739726,0.128491620111732,"2:3:4:5","1",TRUE,222,10,77,"OW"
"8A",0.0453383432956571,0.863013698630137,0.13550135501355,"2:3:4:5","1",TRUE,232,10,78,"OW"
"8A",0.140124685695022,0.852054794520548,0.170610211706102,"2:3:4:5","1",TRUE,217,10,79,"OW"
"8A",0.128383984751235,0.901369863013699,0.118798955613577,"2:3:4:5","1",TRUE,237,10,80,"OW"
"8A",0.265180969610064,0.895890410958904,0.138028169014085,"2:3:4:5","1",TRUE,233,10,81,"OW"
"8A",0.0225130970501526,0.895890410958904,0.0965034965034965,"2:3:4:5","1",TRUE,232,10,82,"OW"
"8A",0.86415900396307,0.90958904109589,0.140056022408964,"2:3:4:5","1",TRUE,229,10,83,"OW"
"8A",0.0908857613359251,0.852054794520548,0.16010854816825,"2:3:4:5","1",TRUE,231,10,84,"OW"
"8A",0.31228379967185,0.876712328767123,0.163447251114413,"2:3:4:5","1",TRUE,229,10,85,"OW"
"8A",0.242403258677895,0.893150684931507,0.13953488372093,"2:3:4:5","1",TRUE,232,10,86,"OW"
"8A",0.172792048111757,0.904109589041096,0.120923913043478,"2:3:4:5","1",TRUE,231,10,87,"OW"
"8A",0.190339074288505,0.879452054794521,0.149863760217984,"2:3:4:5","1",TRUE,244,10,88,"OW"
"8A",0.178864952905744,0.868493150684931,0.160054719562244,"2:3:4:5","1",TRUE,236,10,89,"OW"
"8A",0.0592212060636301,0.854794520547945,0.148,"2:3:4:5","1",TRUE,237,10,90,"OW"
"8A",0.277041132853261,0.912328767123288,0.119047619047619,"2:3:4:5","1",TRUE,233,10,91,"OW"
"8A",0.0667547921863848,0.893150684931507,0.115803814713896,"2:3:4:5","1",TRUE,229,10,92,"OW"
"8A",0.0339979824455964,0.876712328767123,0.118733509234828,"2:3:4:5","1",TRUE,226,10,93,"OW"
"8A",0.111302431110414,0.898630136986301,0.119205298013245,"2:3:4:5","1",TRUE,228,10,94,"OW"
"8A",0.303073632890058,0.882191780821918,0.156558533145275,"2:3:4:5","1",TRUE,223,10,95,"OW"
"8A",0.199769900363572,0.871232876712329,0.159701492537313,"2:3:4:5","1",TRUE,239,10,96,"OW"
"8A",0.068625203982797,0.884931506849315,0.124087591240876,"2:3:4:5","1",TRUE,227,10,97,"OW"
"8A",0.136934743100115,0.863013698630137,0.15948275862069,"2:3:4:5","1",TRUE,232,10,98,"OW"
"8A",0.316628537550337,0.887671232876712,0.151079136690647,"2:3:4:5","1",TRUE,238,10,99,"OW"
"8A",0.221582038500218,0.904109589041096,0.125175808720113,"2:3:4:5","1",TRUE,229,10,100,"OW"
"8A",0.214058783653426,0.893150684931507,0.137142857142857,"2:3:4:5","1",TRUE,244,10,101,"OW"
"8A",0.328512315370283,0.863013698630137,0.179972936400541,"2:3:4:5","1",TRUE,225,10,102,"OW"
"8A",0.0894324543474884,0.873972602739726,0.139568345323741,"2:3:4:5","1",TRUE,235,10,103,"OW"
"8A",0.0890215085445039,0.89041095890411,0.123595505617978,"2:3:4:5","1",TRUE,229,10,104,"OW"
"8A",0.11259138215898,0.876712328767123,0.1417004048583,"2:3:4:5","1",TRUE,236,10,105,"OW"
"8A",0.0262084806074279,0.876712328767123,0.114325068870523,"2:3:4:5","1",TRUE,236,10,106,"OW"
"8A",0.0759430523882298,0.854794520547945,0.153526970954357,"2:3:4:5","1",TRUE,238,10,107,"OW"
"8A",0.283494902657932,0.857534246575342,0.182432432432432,"2:3:4:5","1",TRUE,228,10,108,"OW"
"8A",0.189901262834807,0.898630136986301,0.128726287262873,"2:3:4:5","1",TRUE,232,10,109,"OW"
"8A",0.161629582858754,0.904109589041096,0.119777158774373,"2:3:4:5","1",TRUE,234,10,110,"OW"
"8A",0.067995981698032,0.882191780821918,0.126466753585398,"2:3:4:5","1",TRUE,230,10,111,"OW"
"8A",0.0769996318735114,0.857534246575342,0.151428571428571,"2:3:4:5","1",TRUE,227,10,112,"OW"
"8A",0.18472541574736,0.895890410958904,0.131299734748011,"2:3:4:5","1",TRUE,236,10,113,"OW"
"8A",0.394965949305771,0.873972602739726,0.171673819742489,"2:3:4:5","1",TRUE,232,10,114,"OW"
"8A",0.133202523099758,0.887671232876712,0.133977900552486,"2:3:4:5","1",TRUE,227,10,115,"OW"
"8A",4.27231303595306,0.906849315068493,0.160839160839161,"2:3:4:5","1",TRUE,230,10,116,"OW"
"8A",0.171998061549734,0.876712328767123,0.1506456241033,"2:3:4:5","1",TRUE,230,10,117,"OW"
"8A",0.104592838718357,0.884931506849315,0.132047477744807,"2:3:4:5","1",TRUE,228,10,118,"OW"
"8A",0.0894324543474884,0.884931506849315,0.129032258064516,"2:3:4:5","1",TRUE,230,10,119,"OW"
"8A",0.127500107533888,0.876712328767123,0.144271570014144,"2:3:4:5","1",TRUE,234,10,120,"OW"
"8A",0.195672211254513,0.876712328767123,0.153424657534247,"2:3:4:5","1",TRUE,228,10,121,"OW"
"8A",0.0276977342740374,0.882191780821918,0.110791366906475,"2:3:4:5","1",TRUE,228,10,122,"OW"
"8A",0.248621998975422,0.895890410958904,0.136826783114993,"2:3:4:5","1",TRUE,237,10,123,"OW"
