"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"86A",NA,0.607111882046834,0.0551883674818242,"1","2",TRUE,728,10,1
"86A",NA,0.612315698178664,0.0533117932148627,"1","2",TRUE,724,10,2
"86A",NA,0.611448395490026,0.0673455978975033,"1","2",TRUE,730,10,3
"86A",NA,0.569817866435386,0.048811410459588,"1","2",TRUE,732,10,4
"86A",NA,0.576756287944493,0.0548481880509305,"1","2",TRUE,733,10,5
"86A",NA,0.583694709453599,0.0537985001630258,"1","2",TRUE,728,10,6
"86A",NA,0.601908065915004,0.0554817275747508,"1","2",TRUE,737,10,7
"86A",NA,0.589765828274068,0.0457688508396444,"1","2",TRUE,711,10,8
"86A",NA,0.585429314830876,0.0574712643678161,"1","2",TRUE,727,10,9
"86A",NA,0.615784908933218,0.0608175473579262,"1","2",TRUE,732,10,10
"86A",NA,0.584562012142238,0.0620893561103811,"1","2",TRUE,719,10,11
"86A",NA,0.609713790112749,0.0593413759373981,"1","2",TRUE,743,10,12
"86A",NA,0.584562012142238,0.0512402088772846,"1","2",TRUE,741,10,13
"86A",NA,0.604509973980919,0.0458462599103757,"1","2",TRUE,738,10,14
"86A",NA,0.588898525585429,0.0438136377661216,"1","2",TRUE,740,10,15
"86A",NA,0.573287077189939,0.0426751592356688,"1","2",TRUE,728,10,16
"86A",NA,0.588898525585429,0.0571804140650674,"1","2",TRUE,745,10,17
"86A",NA,0.603642671292281,0.0482917214191853,"1","2",TRUE,710,10,18
"86A",NA,0.599306157849089,0.0453367875647668,"1","2",TRUE,716,10,19
"86A",NA,0.588031222896791,0.0455877564311299,"1","2",TRUE,731,10,20
"86A",NA,0.617519514310494,0.0586877678865809,"1","2",TRUE,715,10,21
"86A",NA,0.602775368603643,0.0448844884488449,"1","2",TRUE,716,10,22
"86A",NA,0.600173460537728,0.0563947633434038,"1","2",TRUE,732,10,23
"86A",NA,0.608846487424111,0.0501792114695341,"1","2",TRUE,724,10,24
"86A",NA,0.598438855160451,0.0433774834437086,"1","2",TRUE,725,10,25
"86A",NA,0.581092801387684,0.0525803310613437,"1","2",TRUE,732,10,26
"86A",NA,0.607111882046834,0.0478436657681941,"1","2",TRUE,725,10,27
"86A",NA,0.610581092801388,0.0476942514213519,"1","2",TRUE,734,10,28
"86A",NA,0.575888985255854,0.0550098231827112,"1","2",TRUE,728,10,29
"86A",NA,0.603642671292281,0.0505249343832021,"1","2",TRUE,729,10,30
"86A",NA,0.599306157849089,0.0502078669651423,"1","2",TRUE,735,10,31
"86A",NA,0.583694709453599,0.0472175379426644,"1","2",TRUE,746,10,32
"86A",NA,0.583694709453599,0.0490859851049424,"1","2",TRUE,740,10,33
"86A",NA,0.590633130962706,0.0496209510682288,"1","2",TRUE,763,10,34
"86A",NA,0.579358196010408,0.0486725663716814,"1","2",TRUE,719,10,35
"86A",NA,0.604509973980919,0.058271935699933,"1","2",TRUE,729,10,36
"86A",NA,0.597571552471813,0.0567010309278351,"1","2",TRUE,741,10,37
"86A",NA,0.603642671292281,0.0491146007350484,"1","2",TRUE,739,10,38
"86A",NA,0.599306157849089,0.0576075906472382,"1","2",TRUE,730,10,39
