"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143E",0.0176776586060148,0.710725075528701,0.205530642750374,"1:2:3","4",TRUE,828,10,1
"143E",0.0216487857973374,0.714501510574018,0.209909690017086,"1:2:3","4",TRUE,835,10,2
"143E",0.0279540440030464,0.693353474320242,0.226980198019802,"1:2:3","4",TRUE,842,10,3
"143E",0.0296788620200834,0.715256797583082,0.219337937604191,"1:2:3","4",TRUE,846,10,4
"143E",0.0227738126496213,0.689577039274924,0.221830098311066,"1:2:3","4",TRUE,813,10,5
"143E",0.0271921435550152,0.719788519637462,0.214479861625896,"1:2:3","4",TRUE,852,10,6
"143E",0.0180063439892455,0.715256797583082,0.204133707578464,"1:2:3","4",TRUE,834,10,7
"143E",0.0174350879472146,0.680513595166163,0.216919191919192,"1:2:3","4",TRUE,843,10,8
"143E",0.0286711917050563,0.724320241691843,0.213993871297242,"1:2:3","4",TRUE,820,10,9
"143E",0.0341549257329479,0.703172205438066,0.229445015416238,"1:2:3","4",TRUE,833,10,10
"143E",0.0169598865303105,0.703172205438066,0.207440256220744,"1:2:3","4",TRUE,851,10,11
"143E",0.0396697849331474,0.70619335347432,0.233136386016741,"1:2:3","4",TRUE,828,10,12
"143E",0.0259681758929653,0.691842900302115,0.225220680958386,"1:2:3","4",TRUE,849,10,13
"143E",0.0159008427254883,0.70392749244713,0.205272587663169,"1:2:3","4",TRUE,827,10,14
"143E",0.0349505766390277,0.732628398791541,0.21605550049554,"1:2:3","4",TRUE,823,10,15
"143E",0.0435977369185274,0.694108761329305,0.24190012180268,"1:2:3","4",TRUE,842,10,16
"143E",0.0169989870210895,0.694108761329305,0.211071789686552,"1:2:3","4",TRUE,857,10,17
"143E",0.0201572110528632,0.70619335347432,0.211330049261084,"1:2:3","4",TRUE,833,10,18
"143E",0.0280830869416274,0.709969788519637,0.22,"1:2:3","4",TRUE,846,10,19
"143E",0.0175964290382506,0.70166163141994,0.209165386584741,"1:2:3","4",TRUE,837,10,20
"143E",0.0201572110528632,0.697885196374622,0.214765100671141,"1:2:3","4",TRUE,834,10,21
"143E",0.0153256372514208,0.699395770392749,0.206001008572869,"1:2:3","4",TRUE,835,10,22
"143E",0.0167657290103686,0.703172205438066,0.207114026236125,"1:2:3","4",TRUE,827,10,23
"143E",0.0227738126496213,0.720543806646526,0.208704253214639,"1:2:3","4",TRUE,846,10,24
"143E",0.0257893944110511,0.693353474320242,0.224325726141079,"1:2:3","4",TRUE,811,10,25
"143E",0.0234658907125004,0.691087613293051,0.222193812324214,"1:2:3","4",TRUE,841,10,26
"143E",0.018639190314811,0.699395770392749,0.211761736496719,"1:2:3","4",TRUE,837,10,27
"143E",0.0219499807353258,0.70166163141994,0.21579476861167,"1:2:3","4",TRUE,831,10,28
"143E",0.0279540440030464,0.695619335347432,0.226046051002723,"1:2:3","4",TRUE,822,10,29
"143E",0.0140092421282056,0.713746223564955,0.197720515361744,"1:2:3","4",TRUE,825,10,30
"143E",0.024012536820103,0.70166163141994,0.21864067966017,"1:2:3","4",TRUE,842,10,31
"143E",0.022826316966199,0.700151057401813,0.217695576105974,"1:2:3","4",TRUE,844,10,32
"143E",0.0146695449313531,0.691842900302115,0.207613323315803,"1:2:3","4",TRUE,836,10,33
"143E",0.0197437454404261,0.696374622356495,0.214700681990402,"1:2:3","4",TRUE,829,10,34
"143E",0.0190733967533941,0.707703927492447,0.209015361369932,"1:2:3","4",TRUE,858,10,35
"143E",0.0222041750992993,0.698640483383686,0.217401612138454,"1:2:3","4",TRUE,850,10,36
"143E",0.0226691660445986,0.700151057401813,0.217456359102244,"1:2:3","4",TRUE,836,10,37
"143E",0.0298846067091174,0.710725075528701,0.221593703885883,"1:2:3","4",TRUE,832,10,38
"143E",0.0159008427254883,0.703172205438066,0.205586311021641,"1:2:3","4",TRUE,833,10,39
"143E",0.0258488510575659,0.699395770392749,0.221938123242138,"1:2:3","4",TRUE,833,10,40
"143E",0.0294745338086855,0.703172205438066,0.224558050645007,"1:2:3","4",TRUE,855,10,41
"143E",0.022878942329845,0.675981873111782,0.227158001009591,"1:2:3","4",TRUE,842,10,42
"143E",0.0224613131913542,0.706948640483384,0.214285714285714,"1:2:3","4",TRUE,823,10,43
"143E",0.0266343770932281,0.711480362537764,0.217632850241546,"1:2:3","4",TRUE,850,10,44
"143E",0.0366822904804346,0.720543806646526,0.223668353820198,"1:2:3","4",TRUE,836,10,45
"143E",0.0178823768351595,0.70166163141994,0.209652706843718,"1:2:3","4",TRUE,839,10,46
"143E",0.0301611533526577,0.698640483383686,0.227238525206923,"1:2:3","4",TRUE,817,10,47
"143E",0.0232507327164402,0.713746223564955,0.212396069538927,"1:2:3","4",TRUE,851,10,48
"143E",0.0227214291016838,0.716012084592145,0.210668633235005,"1:2:3","4",TRUE,844,10,49
"143E",0.0282777691361809,0.709214501510574,0.220569376763273,"1:2:3","4",TRUE,838,10,50
"143E",0.0185963170842986,0.699395770392749,0.211686060906165,"1:2:3","4",TRUE,847,10,51
"143E",0.0276340248893408,0.70166163141994,0.223069355632071,"1:2:3","4",TRUE,831,10,52
"143E",0.0260280447146248,0.73036253776435,0.208063713290194,"1:2:3","4",TRUE,840,10,53
"143E",0.0271295971128646,0.708459214501511,0.21957736215691,"1:2:3","4",TRUE,812,10,54
"143E",0.017636997057979,0.693353474320242,0.212490851427177,"1:2:3","4",TRUE,840,10,55
"143E",0.0201108461227692,0.697885196374622,0.214663643235072,"1:2:3","4",TRUE,827,10,56
"143E",0.0217988630711501,0.697885196374622,0.217135862913097,"1:2:3","4",TRUE,820,10,57
"143E",0.0182989530398043,0.694864048338369,0.213036565977742,"1:2:3","4",TRUE,832,10,58
"143E",0.0288035451788448,0.726586102719033,0.212974603972844,"1:2:3","4",TRUE,830,10,59
"143E",0.0265731136064895,0.711480362537764,0.217522658610272,"1:2:3","4",TRUE,836,10,60
"143E",0.0246853474252908,0.691842900302115,0.223515151515152,"1:2:3","4",TRUE,834,10,61
"143E",0.0232507327164402,0.702416918429003,0.217305315203955,"1:2:3","4",TRUE,832,10,62
"143E",0.0327681214912073,0.712990936555891,0.223557692307692,"1:2:3","4",TRUE,831,10,63
"143E",0.0193833457646024,0.720543806646526,0.203934262948207,"1:2:3","4",TRUE,842,10,64
"143E",0.0384112504775877,0.700906344410876,0.234409123999029,"1:2:3","4",TRUE,853,10,65
"143E",0.0266957818210295,0.704682779456193,0.220659677831757,"1:2:3","4",TRUE,835,10,66
"143E",0.0259681758929653,0.712235649546828,0.21648185483871,"1:2:3","4",TRUE,845,10,67
"143E",0.0259084447795296,0.733383685800604,0.206491885143571,"1:2:3","4",TRUE,854,10,68
"143E",0.0213517238192711,0.697885196374622,0.216529724504592,"1:2:3","4",TRUE,842,10,69
"143E",0.032995282052885,0.70166163141994,0.228945418621882,"1:2:3","4",TRUE,837,10,70
"143E",0.023197252173214,0.702416918429003,0.217209072978304,"1:2:3","4",TRUE,835,10,71
"143E",0.0196983315498468,0.70166163141994,0.212487411883182,"1:2:3","4",TRUE,830,10,72
"143E",0.0357647625104387,0.700151057401813,0.232298136645963,"1:2:3","4",TRUE,850,10,73
"143E",0.0273176693683921,0.709969788519637,0.219120553359684,"1:2:3","4",TRUE,842,10,74
"143E",0.0380590589592609,0.698640483383686,0.235104270109235,"1:2:3","4",TRUE,823,10,75
"143E",0.0303702414609972,0.717522658610272,0.219031798766018,"1:2:3","4",TRUE,833,10,76
"143E",0.0280830869416274,0.719033232628399,0.215786901270772,"1:2:3","4",TRUE,838,10,77
"143E",0.0175964290382506,0.687311178247734,0.214747426382571,"1:2:3","4",TRUE,821,10,78
"143E",0.0182568624114798,0.714501510574018,0.204849084611578,"1:2:3","4",TRUE,843,10,79
"143E",0.0157913711847123,0.713746223564955,0.201027146001467,"1:2:3","4",TRUE,852,10,80
"143E",0.0330713516491852,0.721299093655589,0.219945013746563,"1:2:3","4",TRUE,828,10,81
"143E",0.0185108662430742,0.716012084592145,0.20461882294512,"1:2:3","4",TRUE,831,10,82
"143E",0.0303702414609972,0.716012084592145,0.219744424956151,"1:2:3","4",TRUE,828,10,83
"143E",0.0187684039757853,0.686555891238671,0.21694163999015,"1:2:3","4",TRUE,825,10,84
"143E",0.0203437421695033,0.715256797583082,0.207681017612524,"1:2:3","4",TRUE,828,10,85
"143E",0.0241233847644546,0.687311178247734,0.224590976698066,"1:2:3","4",TRUE,798,10,86
"143E",0.0257893944110511,0.694864048338369,0.223743155798905,"1:2:3","4",TRUE,826,10,87
"143E",0.0256118437748616,0.705438066465257,0.219035846724351,"1:2:3","4",TRUE,825,10,88
"143E",0.0270671945379093,0.700151057401813,0.223108532753203,"1:2:3","4",TRUE,817,10,89
"143E",0.023090659846179,0.685800604229607,0.223803363518758,"1:2:3","4",TRUE,840,10,90
"143E",0.0184682881792196,0.712990936555891,0.205844655216611,"1:2:3","4",TRUE,810,10,91
"143E",0.0268808467108346,0.716767371601209,0.215483870967742,"1:2:3","4",TRUE,847,10,92
"143E",0.0166886897965725,0.697885196374622,0.209071580439405,"1:2:3","4",TRUE,852,10,93
"143E",0.0271295971128646,0.704682779456193,0.22117296222664,"1:2:3","4",TRUE,846,10,94
"143E",0.0207219987497641,0.692598187311178,0.217714002968827,"1:2:3","4",TRUE,839,10,95
"143E",0.018172971378427,0.683534743202417,0.217123814406562,"1:2:3","4",TRUE,830,10,96
"143E",0.0169989870210895,0.692598187311178,0.211701869385773,"1:2:3","4",TRUE,831,10,97
"143E",0.021253611770865,0.709969788519637,0.211297565587332,"1:2:3","4",TRUE,851,10,98
"143E",0.0283429626532119,0.68429003021148,0.231127450980392,"1:2:3","4",TRUE,834,10,99
"143E",0.0171168301950016,0.70166163141994,0.20834386852086,"1:2:3","4",TRUE,824,10,100
"143E",0.0205793352966214,0.694108761329305,0.216902784562775,"1:2:3","4",TRUE,843,10,101
"143E",0.0129244223342009,0.716012084592145,0.194606970236581,"1:2:3","4",TRUE,830,10,102
"143E",0.0180894658281186,0.700151057401813,0.210553148100943,"1:2:3","4",TRUE,835,10,103
"143E",0.0167657290103686,0.6797583081571,0.216020025031289,"1:2:3","4",TRUE,826,10,104
"143E",0.0334543383724802,0.722809667673716,0.219560385280316,"1:2:3","4",TRUE,842,10,105
"143E",0.0286711917050563,0.740936555891239,0.205661322645291,"1:2:3","4",TRUE,843,10,106
"143E",0.0122013712303497,0.694108761329305,0.201600413009809,"1:2:3","4",TRUE,835,10,107
"143E",0.0227738126496213,0.709969788519637,0.213448802852776,"1:2:3","4",TRUE,825,10,108
"143E",0.0432975822967116,0.703172205438066,0.237537387836491,"1:2:3","4",TRUE,828,10,109
"143E",0.0172354903007474,0.716767371601209,0.202252816020025,"1:2:3","4",TRUE,838,10,110
"143E",0.0138488637139387,0.696374622356495,0.204287190082645,"1:2:3","4",TRUE,826,10,111
"143E",0.0315827501758594,0.698640483383686,0.228772440562834,"1:2:3","4",TRUE,847,10,112
"143E",0.0244590082699121,0.717522658610272,0.212220266532562,"1:2:3","4",TRUE,846,10,113
"143E",0.0311493755594793,0.699395770392749,0.228028503562945,"1:2:3","4",TRUE,850,10,114
"143E",0.0250864924926706,0.697129909365559,0.221938123242138,"1:2:3","4",TRUE,846,10,115
"143E",0.0205793352966214,0.704682779456193,0.212569764620238,"1:2:3","4",TRUE,835,10,116
"143E",0.031365314384349,0.696374622356495,0.22952086553323,"1:2:3","4",TRUE,833,10,117
"143E",0.0290032218524952,0.699395770392749,0.225688520594687,"1:2:3","4",TRUE,834,10,118
"143E",0.0181311705288277,0.708459214501511,0.207253886010363,"1:2:3","4",TRUE,849,10,119
"143E",0.0249137810815051,0.686555891238671,0.225944786920397,"1:2:3","4",TRUE,824,10,120
"143E",0.0363459517406284,0.706948640483384,0.229779866435815,"1:2:3","4",TRUE,833,10,121
"143E",0.0210587380891587,0.712235649546828,0.210051232007807,"1:2:3","4",TRUE,842,10,122
"143E",0.0257893944110511,0.704682779456193,0.219610816274956,"1:2:3","4",TRUE,851,10,123
"143E",0.0143355923091415,0.692598187311178,0.206694356217933,"1:2:3","4",TRUE,846,10,124
"143E",0.0283429626532119,0.705438066465257,0.22224987555998,"1:2:3","4",TRUE,842,10,125
"143E",0.0224613131913542,0.70166163141994,0.216502463054187,"1:2:3","4",TRUE,836,10,126
"143E",0.0265119910359358,0.718277945619335,0.214392803598201,"1:2:3","4",TRUE,838,10,127
"143E",0.0246853474252908,0.716012084592145,0.213183043371723,"1:2:3","4",TRUE,837,10,128
"143E",0.0164976369486545,0.715256797583082,0.201665825340737,"1:2:3","4",TRUE,824,10,129
"143E",0.0200645878397077,0.695619335347432,0.215496368038741,"1:2:3","4",TRUE,828,10,130
"143E",0.0292716123229883,0.70392749244713,0.223973973973974,"1:2:3","4",TRUE,808,10,131
"143E",0.0463945158139462,0.710725075528701,0.236443575964827,"1:2:3","4",TRUE,830,10,132
"143E",0.0147372632616734,0.699395770392749,0.204910063198833,"1:2:3","4",TRUE,840,10,133
"143E",0.0276340248893408,0.707703927492447,0.220443985544657,"1:2:3","4",TRUE,817,10,134
"143E",0.0270671945379093,0.723564954682779,0.212539336722343,"1:2:3","4",TRUE,860,10,135
"143E",0.026819016303079,0.698640483383686,0.223455598455598,"1:2:3","4",TRUE,838,10,136
"143E",0.0338417603191,0.694108761329305,0.233095647897713,"1:2:3","4",TRUE,834,10,137
"143E",0.0198348875639039,0.697129909365559,0.21453117329406,"1:2:3","4",TRUE,833,10,138
"143E",0.0327681214912073,0.676737160120846,0.238987588220978,"1:2:3","4",TRUE,825,10,139
"143E",0.0325425248476892,0.73036253776435,0.214969325153374,"1:2:3","4",TRUE,836,10,140
"143E",0.0611615732061777,0.70392749244713,0.249680552006133,"1:2:3","4",TRUE,861,10,141
"143E",0.0296105957128437,0.688066465256798,0.231027361899845,"1:2:3","4",TRUE,840,10,142
"143E",0.0231438946441112,0.690332326283988,0.222079589216945,"1:2:3","4",TRUE,826,10,143
"143E",0.0258488510575659,0.691842900302115,0.22504400301735,"1:2:3","4",TRUE,836,10,144
"143E",0.0256118437748616,0.724320241691843,0.210513203786746,"1:2:3","4",TRUE,832,10,145
"143E",0.0229316890196299,0.700906344410876,0.217518248175182,"1:2:3","4",TRUE,849,10,146
"143E",0.0429994941307113,0.714501510574018,0.231913284597933,"1:2:3","4",TRUE,857,10,147
"143E",0.0305104381782634,0.692598187311178,0.230231978049389,"1:2:3","4",TRUE,845,10,148
"143E",0.0198806162801254,0.678247734138973,0.221799746514575,"1:2:3","4",TRUE,831,10,149
"143E",0.0405939064075385,0.726586102719033,0.223952095808383,"1:2:3","4",TRUE,851,10,150
"143E",0.0165737942141745,0.707703927492447,0.204950758583977,"1:2:3","4",TRUE,843,10,151
"143E",0.0213026113116096,0.700906344410876,0.215189873417722,"1:2:3","4",TRUE,858,10,152
"143E",0.0233580639803376,0.70619335347432,0.215812516095802,"1:2:3","4",TRUE,832,10,153
"143E",0.0166503030408974,0.720543806646526,0.199640749294329,"1:2:3","4",TRUE,821,10,154
"143E",0.0143355923091415,0.694864048338369,0.205828779599271,"1:2:3","4",TRUE,838,10,155
"143E",0.022306675188491,0.732628398791541,0.202450980392157,"1:2:3","4",TRUE,827,10,156
"143E",0.0204376540296621,0.695619335347432,0.216113503927033,"1:2:3","4",TRUE,846,10,157
"143E",0.0223581025341845,0.719788519637462,0.208516886930984,"1:2:3","4",TRUE,843,10,158
"143E",0.0258488510575659,0.696374622356495,0.22320987654321,"1:2:3","4",TRUE,837,10,159
"143E",0.0322441434856197,0.699395770392749,0.229135432283858,"1:2:3","4",TRUE,834,10,160
"143E",0.0177592631500121,0.705438066465257,0.207853403141361,"1:2:3","4",TRUE,843,10,161
"143E",0.0269428196666719,0.716012084592145,0.215928346647301,"1:2:3","4",TRUE,863,10,162
"143E",0.0135024644121564,0.690332326283988,0.205791106514995,"1:2:3","4",TRUE,827,10,163
"143E",0.0280830869416274,0.712235649546828,0.218981710331191,"1:2:3","4",TRUE,829,10,164
"143E",0.0281478316249154,0.710725075528701,0.219718992248062,"1:2:3","4",TRUE,851,10,165
"143E",0.0247422587258265,0.708459214501511,0.216610004856727,"1:2:3","4",TRUE,855,10,166
"143E",0.0183834256360753,0.721299093655589,0.202117183653373,"1:2:3","4",TRUE,834,10,167
"143E",0.0256118437748616,0.6797583081571,0.229495861550038,"1:2:3","4",TRUE,823,10,168
"143E",0.0350311541061676,0.712235649546828,0.226129363449692,"1:2:3","4",TRUE,834,10,169
"143E",0.0236830397410083,0.696374622356495,0.220389066732332,"1:2:3","4",TRUE,850,10,170
"143E",0.0282777691361809,0.704682779456193,0.222576687116564,"1:2:3","4",TRUE,847,10,171
"143E",0.0164976369486545,0.711480362537764,0.203237858032379,"1:2:3","4",TRUE,842,10,172
"143E",0.0362623500207658,0.697129909365559,0.234117944824095,"1:2:3","4",TRUE,847,10,173
"143E",0.0326927493745853,0.719033232628399,0.220631786771964,"1:2:3","4",TRUE,829,10,174
"143E",0.0232507327164402,0.709214501510574,0.214374533698085,"1:2:3","4",TRUE,844,10,175
"143E",0.0254355155104699,0.692598187311178,0.224208746073931,"1:2:3","4",TRUE,833,10,176
"143E",0.0201108461227692,0.691087613293051,0.217337917485265,"1:2:3","4",TRUE,834,10,177
"143E",0.0225650002950264,0.691087613293051,0.220998719590269,"1:2:3","4",TRUE,859,10,178
"143E",0.0324676716407803,0.707703927492447,0.225726959093149,"1:2:3","4",TRUE,816,10,179
"143E",0.0158277776997141,0.694864048338369,0.208676140613313,"1:2:3","4",TRUE,819,10,180
"143E",0.0166886897965725,0.685045317220544,0.213985668396343,"1:2:3","4",TRUE,848,10,181
"143E",0.0220513073990305,0.700906344410876,0.216301703163017,"1:2:3","4",TRUE,865,10,182
"143E",0.0202036828758611,0.687311178247734,0.218953397552721,"1:2:3","4",TRUE,825,10,183
"143E",0.0206743347142524,0.697129909365559,0.215822002472188,"1:2:3","4",TRUE,831,10,184
"143E",0.0217988630711501,0.680513595166163,0.223959646910467,"1:2:3","4",TRUE,848,10,185
"143E",0.0234119152701823,0.687311178247734,0.223650385604113,"1:2:3","4",TRUE,829,10,186
"143E",0.0291371080614371,0.700151057401813,0.225487712186471,"1:2:3","4",TRUE,822,10,187
"143E",0.0240678969767194,0.695619335347432,0.221201588877855,"1:2:3","4",TRUE,853,10,188
"143E",0.0308637679383573,0.741691842900302,0.207494264593423,"1:2:3","4",TRUE,832,10,189
"143E",0.0225650002950264,0.689577039274924,0.221559860904123,"1:2:3","4",TRUE,840,10,190
"143E",0.0107994923295631,0.712990936555891,0.19106699751861,"1:2:3","4",TRUE,833,10,191
"143E",0.0371926433616519,0.698640483383686,0.234375,"1:2:3","4",TRUE,837,10,192
"143E",0.0193387608530783,0.690332326283988,0.216476991588323,"1:2:3","4",TRUE,838,10,193
"143E",0.0259681758929653,0.698640483383686,0.222386587771203,"1:2:3","4",TRUE,813,10,194
"143E",0.0331475966215732,0.699395770392749,0.230058365758755,"1:2:3","4",TRUE,857,10,195
"143E",0.014434971860142,0.696374622356495,0.205476073014307,"1:2:3","4",TRUE,841,10,196
"143E",0.043098628126729,0.715256797583082,0.231656441717791,"1:2:3","4",TRUE,854,10,197
"143E",0.0476944501980569,0.708459214501511,0.238493723849372,"1:2:3","4",TRUE,849,10,198
"143E",0.0349505766390277,0.692598187311178,0.234784823020117,"1:2:3","4",TRUE,849,10,199
"143E",0.0318016933115286,0.713746223564955,0.222222222222222,"1:2:3","4",TRUE,821,10,200
"143E",0.0209619723222229,0.691087613293051,0.218633540372671,"1:2:3","4",TRUE,848,10,201
"143E",0.0122576958464987,0.700906344410876,0.199147228492601,"1:2:3","4",TRUE,827,10,202
"143E",0.0198806162801254,0.692598187311178,0.216406643180674,"1:2:3","4",TRUE,832,10,203
"143E",0.0255529322844235,0.717522658610272,0.213577421815408,"1:2:3","4",TRUE,840,10,204
"143E",0.0327681214912073,0.718277945619335,0.221119592875318,"1:2:3","4",TRUE,870,10,205
"143E",0.0252022980880825,0.691087613293051,0.224521469218831,"1:2:3","4",TRUE,828,10,206
"143E",0.0178002065787195,0.709969788519637,0.206062087509166,"1:2:3","4",TRUE,845,10,207
"143E",0.022878942329845,0.6797583081571,0.225766567754698,"1:2:3","4",TRUE,843,10,208
"143E",0.0239573040010328,0.709969788519637,0.214977075904228,"1:2:3","4",TRUE,841,10,209
"143E",0.0274437746406774,0.710725075528701,0.218930454431333,"1:2:3","4",TRUE,829,10,210
"143E",0.0327681214912073,0.700151057401813,0.22936449963477,"1:2:3","4",TRUE,825,10,211
"143E",0.0198806162801254,0.722809667673716,0.203694458312531,"1:2:3","4",TRUE,832,10,212
"143E",0.0265119910359358,0.706948640483384,0.219462227912932,"1:2:3","4",TRUE,847,10,213
"143E",0.0322441434856197,0.707703927492447,0.225453699395067,"1:2:3","4",TRUE,826,10,214
"143E",0.0155031176173759,0.696374622356495,0.207547169811321,"1:2:3","4",TRUE,832,10,215
