"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143F",0.0576071045966684,0.482628398791541,0.296463506395786,"1:2:3","4",TRUE,827,10,1
"143F",0.055651201799673,0.468277945619335,0.294102629563441,"1:2:3","4",TRUE,829,10,2
"143F",0.053391576839069,0.447129909365559,0.290192113245703,"1:2:3","4",TRUE,834,10,3
"143F",0.0427034581937269,0.479607250755287,0.283538796229152,"1:2:3","4",TRUE,840,10,4
"143F",0.0906767090042394,0.460725075528701,0.315557729941292,"1:2:3","4",TRUE,853,10,5
"143F",0.0604613928513013,0.466012084592145,0.297549886334933,"1:2:3","4",TRUE,823,10,6
"143F",0.0747286864948628,0.454682779456193,0.306018854242204,"1:2:3","4",TRUE,824,10,7
"143F",0.0580064580426789,0.493957703927492,0.297066934068689,"1:2:3","4",TRUE,844,10,8
"143F",0.0815626164570632,0.484894259818731,0.312197606315253,"1:2:3","4",TRUE,825,10,9
"143F",0.0541344024564357,0.468277945619335,0.292924169414152,"1:2:3","4",TRUE,852,10,10
"143F",0.084623844039037,0.471299093655589,0.313153961136024,"1:2:3","4",TRUE,827,10,11
"143F",0.0445107432703505,0.471299093655589,0.28479921162848,"1:2:3","4",TRUE,830,10,12
"143F",0.0437989951009512,0.474320241691843,0.284316318434277,"1:2:3","4",TRUE,845,10,13
"143F",0.0448193079662151,0.472054380664653,0.285112707456032,"1:2:3","4",TRUE,821,10,14
"143F",0.0638970117389753,0.509063444108761,0.301296160430423,"1:2:3","4",TRUE,810,10,15
"143F",0.048469500802317,0.458459214501511,0.287329735286559,"1:2:3","4",TRUE,827,10,16
"143F",0.0589490821880517,0.477341389728097,0.297223599405057,"1:2:3","4",TRUE,848,10,17
"143F",0.0624423943857057,0.457703927492447,0.298206278026906,"1:2:3","4",TRUE,838,10,18
"143F",0.0471484420541405,0.464501510574018,0.286671452500598,"1:2:3","4",TRUE,856,10,19
"143F",0.0691009389096882,0.486404833836858,0.304748062015504,"1:2:3","4",TRUE,841,10,20
"143F",0.0780709113237485,0.485649546827795,0.310273081924577,"1:2:3","4",TRUE,850,10,21
"143F",0.0730274857469072,0.456948640483384,0.305134474327628,"1:2:3","4",TRUE,832,10,22
"143F",0.0624423943857057,0.481873111782477,0.299974855418657,"1:2:3","4",TRUE,842,10,23
"143F",0.0582742305267491,0.473564954682779,0.296479920674269,"1:2:3","4",TRUE,834,10,24
"143F",0.0467161395076905,0.457703927492447,0.285714285714286,"1:2:3","4",TRUE,845,10,25
"143F",0.0721914639082662,0.472809667673716,0.306022921238722,"1:2:3","4",TRUE,821,10,26
"143F",0.0720254115625964,0.466767371601208,0.305464618484009,"1:2:3","4",TRUE,833,10,27
"143F",0.0529020311908797,0.459969788519637,0.291183879093199,"1:2:3","4",TRUE,833,10,28
"143F",0.0427034581937269,0.449395770392749,0.281099324975892,"1:2:3","4",TRUE,842,10,29
"143F",0.0581401901271338,0.449395770392749,0.294224765868887,"1:2:3","4",TRUE,850,10,30
"143F",0.0697403862648753,0.465256797583082,0.303846153846154,"1:2:3","4",TRUE,832,10,31
"143F",0.0681527443185034,0.450151057401813,0.301285347043702,"1:2:3","4",TRUE,827,10,32
"143F",0.0661427196471313,0.463746223564955,0.301339829476248,"1:2:3","4",TRUE,860,10,33
"143F",0.0423119115611113,0.462990936555891,0.281988188976378,"1:2:3","4",TRUE,826,10,34
"143F",0.0702238520418134,0.456948640483384,0.303410230692076,"1:2:3","4",TRUE,831,10,35
"143F",0.09716251547314,0.468277945619335,0.319468804810824,"1:2:3","4",TRUE,831,10,36
"143F",0.0535146694584764,0.487160120845921,0.293396698349175,"1:2:3","4",TRUE,835,10,37
"143F",0.0697403862648753,0.469033232628399,0.3042071197411,"1:2:3","4",TRUE,840,10,38
"143F",0.0617275511341607,0.464501510574018,0.298421448258582,"1:2:3","4",TRUE,831,10,39
"143F",0.0513417948581734,0.444108761329305,0.288127048147215,"1:2:3","4",TRUE,827,10,40
"143F",0.0884086277135429,0.503776435045317,0.316243411595592,"1:2:3","4",TRUE,828,10,41
"143F",0.067062949193906,0.472809667673716,0.302689486552567,"1:2:3","4",TRUE,840,10,42
"143F",0.0453383432956571,0.475075528700906,0.285750636132315,"1:2:3","4",TRUE,837,10,43
"143F",0.0458633893754974,0.472809667673716,0.286108324974925,"1:2:3","4",TRUE,838,10,44
"143F",0.0506372890590574,0.47583081570997,0.290577988915281,"1:2:3","4",TRUE,851,10,45
"143F",0.0908857613359251,0.448640483383686,0.314271381991472,"1:2:3","4",TRUE,854,10,46
