"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143E",0.141747416292681,0.702416918429003,0.28331912475135,"1:2:3","4",TRUE,849,10,1
"143E",0.230959778111202,0.716767371601209,0.294814608307778,"1:2:3","4",TRUE,835,10,2
"143E",0.153999301811647,0.70619335347432,0.284656988329063,"1:2:3","4",TRUE,832,10,3
"143E",0.163125273234453,0.697129909365559,0.292052794158944,"1:2:3","4",TRUE,837,10,4
"143E",0.192987221219875,0.700906344410876,0.296920718963355,"1:2:3","4",TRUE,840,10,5
"143E",0.17439103388396,0.709969788519637,0.287568020092089,"1:2:3","4",TRUE,831,10,6
"143E",0.249769701015962,0.719788519637462,0.296032411288069,"1:2:3","4",TRUE,823,10,7
"143E",0.236884941358105,0.70392749244713,0.303695313606116,"1:2:3","4",TRUE,838,10,8
"143E",0.242962111849688,0.693353474320242,0.310893339014345,"1:2:3","4",TRUE,815,10,9
"143E",0.187295461045132,0.706948640483384,0.292236805361631,"1:2:3","4",TRUE,836,10,10
"143E",0.195672211254513,0.719788519637462,0.286235442682756,"1:2:3","4",TRUE,855,10,11
"143E",0.194773089402581,0.709214501510574,0.292484111633048,"1:2:3","4",TRUE,831,10,12
"143E",0.149801979340737,0.674471299093656,0.300028066236318,"1:2:3","4",TRUE,829,10,13
"143E",0.189028658728023,0.68429003021148,0.305101327742837,"1:2:3","4",TRUE,832,10,14
"143E",0.171998061549734,0.705438066465257,0.289580703968588,"1:2:3","4",TRUE,844,10,15
"143E",0.193878099052509,0.716012084592145,0.288252714708786,"1:2:3","4",TRUE,812,10,16
"143E",0.209668000332823,0.722054380664653,0.287554863372505,"1:2:3","4",TRUE,820,10,17
"143E",0.233097037338039,0.709969788519637,0.299441500787627,"1:2:3","4",TRUE,808,10,18
"143E",0.17398990556944,0.70619335347432,0.289653212052302,"1:2:3","4",TRUE,836,10,19
"143E",0.149113633089502,0.711480362537764,0.280345211581292,"1:2:3","4",TRUE,833,10,20
"143E",0.12288785137465,0.680513595166163,0.288639272003412,"1:2:3","4",TRUE,824,10,21
"143E",0.195672211254513,0.698640483383686,0.298770491803279,"1:2:3","4",TRUE,851,10,22
"143E",0.145383878832736,0.690332326283988,0.290883590462833,"1:2:3","4",TRUE,841,10,23
"143E",0.150147343143815,0.712990936555891,0.279717253317946,"1:2:3","4",TRUE,833,10,24
"143E",0.179277320490236,0.70619335347432,0.290911664779162,"1:2:3","4",TRUE,843,10,25
"143E",0.207745561191591,0.719788519637462,0.288677368944452,"1:2:3","4",TRUE,851,10,26
"143E",0.201618534209205,0.705438066465257,0.296197183098592,"1:2:3","4",TRUE,840,10,27
"143E",0.223632517852766,0.72583081570997,0.287705956907478,"1:2:3","4",TRUE,825,10,28
"143E",0.212585066488384,0.705438066465257,0.298322289581277,"1:2:3","4",TRUE,835,10,29
"143E",0.228315740508458,0.712990936555891,0.296720167480809,"1:2:3","4",TRUE,857,10,30
"143E",0.258548042561584,0.73036253776435,0.290427640894931,"1:2:3","4",TRUE,826,10,31
"143E",0.234712950961324,0.716767371601209,0.295480386583286,"1:2:3","4",TRUE,842,10,32
"143E",0.237978462171591,0.716012084592145,0.29652466367713,"1:2:3","4",TRUE,853,10,33
"143E",0.136934743100115,0.700151057401813,0.283139212423738,"1:2:3","4",TRUE,838,10,34
"143E",0.199310396445051,0.722809667673716,0.285092644581696,"1:2:3","4",TRUE,839,10,35
"143E",0.19254331858883,0.70619335347432,0.29379234066086,"1:2:3","4",TRUE,838,10,36
"143E",0.180936319777964,0.70619335347432,0.291285967543979,"1:2:3","4",TRUE,843,10,37
"143E",0.193878099052509,0.72583081570997,0.282062028499581,"1:2:3","4",TRUE,847,10,38
"143E",0.233634435306047,0.731117824773414,0.285996333380341,"1:2:3","4",TRUE,823,10,39
"143E",0.135367108194852,0.691842900302115,0.287103946637021,"1:2:3","4",TRUE,832,10,40
"143E",0.10927073149133,0.690332326283988,0.279011311269376,"1:2:3","4",TRUE,833,10,41
"143E",0.226743869361225,0.718277945619335,0.293130201720976,"1:2:3","4",TRUE,830,10,42
"143E",0.13017016374011,0.703172205438066,0.279450903487883,"1:2:3","4",TRUE,847,10,43
"143E",0.16350135347712,0.706948640483384,0.286650520017096,"1:2:3","4",TRUE,837,10,44
"143E",0.147406573721007,0.689577039274924,0.291842475386779,"1:2:3","4",TRUE,867,10,45
"143E",0.11181623128831,0.695619335347432,0.277297833168107,"1:2:3","4",TRUE,835,10,46
"143E",0.189028658728023,0.712990936555891,0.289035630760765,"1:2:3","4",TRUE,820,10,47
"143E",0.240180671007365,0.716767371601209,0.296449451019535,"1:2:3","4",TRUE,804,10,48
"143E",0.215046933148673,0.708459214501511,0.296981776765376,"1:2:3","4",TRUE,827,10,49
"143E",0.183031674360743,0.686555891238671,0.302574201716134,"1:2:3","4",TRUE,827,10,50
"143E",0.215046933148673,0.699395770392749,0.302382319173364,"1:2:3","4",TRUE,838,10,51
"143E",0.20679096180054,0.703172205438066,0.298568796939209,"1:2:3","4",TRUE,844,10,52
"143E",0.209668000332823,0.703172205438066,0.299093227543213,"1:2:3","4",TRUE,851,10,53
"143E",0.210151383384885,0.694864048338369,0.303982052720135,"1:2:3","4",TRUE,822,10,54
"143E",0.173190414803173,0.666163141993958,0.310286439960491,"1:2:3","4",TRUE,831,10,55
"143E",0.255588173305391,0.709214501510574,0.303701626472238,"1:2:3","4",TRUE,814,10,56
"143E",0.176004816375847,0.714501510574018,0.285236768802228,"1:2:3","4",TRUE,844,10,57
"143E",0.126331063154939,0.686555891238671,0.286899072251898,"1:2:3","4",TRUE,837,10,58
"143E",0.242403258677895,0.711480362537764,0.300070372976777,"1:2:3","4",TRUE,824,10,59
"143E",0.17439103388396,0.720543806646526,0.281223687903452,"1:2:3","4",TRUE,849,10,60
"143E",0.132896135194424,0.695619335347432,0.284315117104329,"1:2:3","4",TRUE,841,10,61
"143E",0.159779240351979,0.70166163141994,0.288689202681501,"1:2:3","4",TRUE,838,10,62
"143E",0.182190636295305,0.695619335347432,0.297529836247571,"1:2:3","4",TRUE,827,10,63
"143E",0.165014364873204,0.700906344410876,0.290472053286997,"1:2:3","4",TRUE,845,10,64
"143E",0.222092888996634,0.70619335347432,0.299699871373446,"1:2:3","4",TRUE,836,10,65
"143E",0.221582038500218,0.700906344410876,0.302704233328614,"1:2:3","4",TRUE,843,10,66
"143E",0.286118312246484,0.70392749244713,0.311594202898551,"1:2:3","4",TRUE,836,10,67
"143E",0.227790576421012,0.710725075528701,0.298063229849046,"1:2:3","4",TRUE,829,10,68
"143E",0.150493503172397,0.703172205438066,0.285351755251657,"1:2:3","4",TRUE,847,10,69
"143E",0.157950080646842,0.698640483383686,0.289875767528202,"1:2:3","4",TRUE,851,10,70
"143E",0.181353462834341,0.70166163141994,0.293950984558719,"1:2:3","4",TRUE,836,10,71
"143E",0.257360003680892,0.694108761329305,0.312974910394265,"1:2:3","4",TRUE,842,10,72
"143E",0.173589699916603,0.715256797583082,0.284245107841737,"1:2:3","4",TRUE,847,10,73
"143E",0.19254331858883,0.70392749244713,0.295153564384334,"1:2:3","4",TRUE,833,10,74
"143E",0.248050127124097,0.697129909365559,0.309623430962343,"1:2:3","4",TRUE,841,10,75
"143E",0.200230463654082,0.702416918429003,0.297637572499646,"1:2:3","4",TRUE,839,10,76
