"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"7A",0.125461319558942,0.27336860670194,0.264537264537265,"2:3:4:5:6:7:8","1",TRUE,359,10,1
"7A",0.0489180286310892,0.303350970017637,0.244882486732373,"2:3:4:5:6:7:8","1",TRUE,351,10,2
"7A",0.0923626850440198,0.278659611992945,0.255938697318008,"2:3:4:5:6:7:8","1",TRUE,358,10,3
"7A",0.100809242187172,0.285714285714286,0.263236390753169,"2:3:4:5:6:7:8","1",TRUE,359,10,4
"7A",0.115479860511974,0.257495590828924,0.251592356687898,"2:3:4:5:6:7:8","1",TRUE,369,10,5
"7A",0.112850958087866,0.275132275132275,0.261574074074074,"2:3:4:5:6:7:8","1",TRUE,358,10,6
"7A",0.181353462834341,0.282186948853616,0.284440842787682,"2:3:4:5:6:7:8","1",TRUE,355,10,7
"7A",0.0681527443185034,0.268077601410935,0.238888888888889,"2:3:4:5:6:7:8","1",TRUE,350,10,8
"7A",0.125172737706245,0.259259259259259,0.255645161290323,"2:3:4:5:6:7:8","1",TRUE,359,10,9
"7A",0.0969390255654413,0.27336860670194,0.254731861198738,"2:3:4:5:6:7:8","1",TRUE,362,10,10
"7A",0.176817299131726,0.268077601410935,0.274494556765163,"2:3:4:5:6:7:8","1",TRUE,358,10,11
"7A",0.109775152829831,0.289241622574956,0.268548387096774,"2:3:4:5:6:7:8","1",TRUE,363,10,12
"7A",0.0209619723222229,0.312169312169312,0.21993410214168,"2:3:4:5:6:7:8","1",TRUE,365,10,13
"7A",0.11259138215898,0.262786596119929,0.253968253968254,"2:3:4:5:6:7:8","1",TRUE,372,10,14
"7A",0.0564254650970212,0.257495590828924,0.226283048211509,"2:3:4:5:6:7:8","1",TRUE,365,10,15
"7A",0.0858011975264928,0.27336860670194,0.250198570293884,"2:3:4:5:6:7:8","1",TRUE,359,10,16
"7A",0.12288785137465,0.271604938271605,0.262658227848101,"2:3:4:5:6:7:8","1",TRUE,360,10,17
"7A",0.0811878328825989,0.291005291005291,0.257774140752864,"2:3:4:5:6:7:8","1",TRUE,355,10,18
"7A",0.0555231948013674,0.292768959435626,0.244516653127539,"2:3:4:5:6:7:8","1",TRUE,353,10,19
"7A",0.0532687673531108,0.294532627865961,0.243882544861338,"2:3:4:5:6:7:8","1",TRUE,353,10,20
"7A",0.0592212060636301,0.27689594356261,0.238714613618975,"2:3:4:5:6:7:8","1",TRUE,348,10,21
"7A",0.0900524327178457,0.315696649029982,0.274034822104466,"2:3:4:5:6:7:8","1",TRUE,370,10,22
"7A",0.115214237671301,0.294532627865961,0.273311897106109,"2:3:4:5:6:7:8","1",TRUE,355,10,23
"7A",0.107523439997331,0.324514991181658,0.285394932935917,"2:3:4:5:6:7:8","1",TRUE,365,10,24
