"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143F",0.159411721587109,0.485649546827795,0.344342251950948,"1:2:3","4",TRUE,835,10,1
"143F",0.191217727605009,0.446374622356495,0.349598082075871,"1:2:3","4",TRUE,851,10,2
"143F",0.197482925840228,0.457703927492447,0.352789699570815,"1:2:3","4",TRUE,836,10,3
"143F",0.190339074288505,0.465256797583082,0.351781970649895,"1:2:3","4",TRUE,838,10,4
"143F",0.18472541574736,0.454682779456193,0.349051260266214,"1:2:3","4",TRUE,852,10,5
"143F",0.167695902927956,0.447885196374622,0.343386169168186,"1:2:3","4",TRUE,852,10,6
"143F",0.114949225807237,0.470543806646526,0.327631761924628,"1:2:3","4",TRUE,845,10,7
"143F",0.21904535766913,0.432779456193353,0.353944267295162,"1:2:3","4",TRUE,841,10,8
"143F",0.186864650406919,0.455438066465257,0.349699398797595,"1:2:3","4",TRUE,844,10,9
"143F",0.175196067011621,0.491691842900302,0.349264190609671,"1:2:3","4",TRUE,856,10,10
"143F",0.19254331858883,0.461480362537764,0.351957642468998,"1:2:3","4",TRUE,822,10,11
"143F",0.156862651572005,0.465256797583082,0.342255940452333,"1:2:3","4",TRUE,845,10,12
"143F",0.155424382972597,0.450906344410876,0.340080410370165,"1:2:3","4",TRUE,846,10,13
"143F",0.182610671139391,0.461480362537764,0.349293785310734,"1:2:3","4",TRUE,837,10,14
"143F",0.154710201545619,0.460725075528701,0.341072415699281,"1:2:3","4",TRUE,838,10,15
"143F",0.209668000332823,0.469788519637462,0.356907659269864,"1:2:3","4",TRUE,831,10,16
"143F",0.187727264903869,0.47809667673716,0.352128719920262,"1:2:3","4",TRUE,833,10,17
"143F",0.176817299131726,0.462990936555891,0.347893258426966,"1:2:3","4",TRUE,837,10,18
"143F",0.156501841445275,0.476586102719033,0.343010146561443,"1:2:3","4",TRUE,839,10,19
"143F",0.182190636295305,0.43429003021148,0.345197740112994,"1:2:3","4",TRUE,838,10,20
"143F",0.198394556982656,0.45166163141994,0.352221597300337,"1:2:3","4",TRUE,869,10,21
"143F",0.203953401637408,0.486404833836858,0.35663457513604,"1:2:3","4",TRUE,810,10,22
"143F",0.236884941358105,0.468277945619335,0.362825594563986,"1:2:3","4",TRUE,844,10,23
"143F",0.183876594870646,0.440332326283988,0.346704871060172,"1:2:3","4",TRUE,838,10,24
"143F",0.175196067011621,0.461480362537764,0.347282079799805,"1:2:3","4",TRUE,818,10,25
"143F",0.158679218175336,0.461480362537764,0.342390539208785,"1:2:3","4",TRUE,825,10,26
"143F",0.202083359467536,0.450906344410876,0.353041018387553,"1:2:3","4",TRUE,849,10,27
"143F",0.186005999659031,0.456948640483384,0.349715909090909,"1:2:3","4",TRUE,858,10,28
"143F",0.183453648191924,0.45619335347432,0.34889917262656,"1:2:3","4",TRUE,869,10,29
"143F",0.185578154995965,0.466767371601208,0.350627615062762,"1:2:3","4",TRUE,816,10,30
"143F",0.141096081089656,0.469788519637462,0.337491039426523,"1:2:3","4",TRUE,826,10,31
"143F",0.166158304595826,0.472054380664653,0.34559343612958,"1:2:3","4",TRUE,848,10,32
"143F",0.175599976093822,0.466767371601208,0.347949080622348,"1:2:3","4",TRUE,822,10,33
"143F",0.250345537291399,0.466767371601208,0.365439093484419,"1:2:3","4",TRUE,845,10,34
"143F",0.160886888283294,0.440332326283988,0.340185581727338,"1:2:3","4",TRUE,836,10,35
"143F",0.153291668691168,0.462990936555891,0.340887107917645,"1:2:3","4",TRUE,842,10,36
"143F",0.176817299131726,0.482628398791541,0.34938553872535,"1:2:3","4",TRUE,848,10,37
"143F",0.227790576421012,0.447885196374622,0.358490566037736,"1:2:3","4",TRUE,830,10,38
"143F",0.197938216582121,0.493957703927492,0.355328547763666,"1:2:3","4",TRUE,845,10,39
"143F",0.187727264903869,0.467522658610272,0.351226348983882,"1:2:3","4",TRUE,846,10,40
"143F",0.197938216582121,0.467522658610272,0.353946068050261,"1:2:3","4",TRUE,825,10,41
"143F",0.179277320490236,0.466012084592145,0.348807854137447,"1:2:3","4",TRUE,857,10,42
"143F",0.123171165492993,0.472809667673716,0.331109849560034,"1:2:3","4",TRUE,816,10,43
"143F",0.143059120762737,0.456948640483384,0.336798632868129,"1:2:3","4",TRUE,841,10,44
"143F",0.210635880861537,0.470543806646526,0.357273109833076,"1:2:3","4",TRUE,835,10,45
"143F",0.190777895102889,0.469788519637462,0.352298524404086,"1:2:3","4",TRUE,843,10,46
"143F",0.160886888283294,0.45166163141994,0.341843971631206,"1:2:3","4",TRUE,816,10,47
"143F",0.117086507173428,0.472809667673716,0.328589725345098,"1:2:3","4",TRUE,836,10,48
"143F",0.209185729141988,0.481873111782477,0.357720178372352,"1:2:3","4",TRUE,847,10,49
"143F",0.198851949461788,0.459969788519637,0.353341847594721,"1:2:3","4",TRUE,827,10,50
"143F",0.183031674360743,0.453172205438066,0.348416923507985,"1:2:3","4",TRUE,838,10,51
"143F",0.176004816375847,0.469033232628399,0.348235624912133,"1:2:3","4",TRUE,844,10,52
"143F",0.236884941358105,0.45166163141994,0.360945061201252,"1:2:3","4",TRUE,857,10,53
"143F",0.16350135347712,0.47809667673716,0.345254857786539,"1:2:3","4",TRUE,811,10,54
"143F",0.184300516639778,0.488670694864048,0.351683222958057,"1:2:3","4",TRUE,825,10,55
"143F",0.181353462834341,0.478851963746224,0.350452331245651,"1:2:3","4",TRUE,831,10,56
"143F",0.192987221219875,0.459969788519637,0.351806884730753,"1:2:3","4",TRUE,850,10,57
"143F",0.157950080646842,0.461480362537764,0.342197833122274,"1:2:3","4",TRUE,846,10,58
"143F",0.158314229643997,0.467522658610272,0.342881332016368,"1:2:3","4",TRUE,832,10,59
"143F",0.165394800357875,0.453172205438066,0.343478260869565,"1:2:3","4",TRUE,824,10,60
"143F",0.193878099052509,0.445619335347432,0.350139664804469,"1:2:3","4",TRUE,836,10,61
"143F",0.144715833934899,0.477341389728097,0.339194554736245,"1:2:3","4",TRUE,837,10,62
"143F",0.161629582858754,0.461480362537764,0.343291763738523,"1:2:3","4",TRUE,842,10,63
"143F",0.268251929385415,0.441087613293051,0.365449915110357,"1:2:3","4",TRUE,839,10,64
"143F",0.201154778126097,0.442598187311178,0.351466213344666,"1:2:3","4",TRUE,849,10,65
"143F",0.229369703723094,0.473564954682779,0.361756373937677,"1:2:3","4",TRUE,835,10,66
"143F",0.235796445317696,0.460725075528701,0.361842105263158,"1:2:3","4",TRUE,854,10,67
"143F",0.229369703723094,0.459214501510574,0.360359056030114,"1:2:3","4",TRUE,850,10,68
"143F",0.162750058038748,0.474320241691843,0.344793850454228,"1:2:3","4",TRUE,843,10,69
"143F",0.200230463654082,0.466012084592145,0.35436690346845,"1:2:3","4",TRUE,853,10,70
"143F",0.170813917216417,0.464501510574018,0.346277863451563,"1:2:3","4",TRUE,837,10,71
"143F",0.145719056842539,0.460725075528701,0.338114172110196,"1:2:3","4",TRUE,839,10,72
"143F",0.133509617372876,0.462990936555891,0.334125541730742,"1:2:3","4",TRUE,831,10,73
"143F",0.149457409931712,0.472809667673716,0.340446441106275,"1:2:3","4",TRUE,831,10,74
"143F",0.208704567254914,0.444864048338369,0.353682441893027,"1:2:3","4",TRUE,830,10,75
"143F",0.161629582858754,0.471299093655589,0.344243792325056,"1:2:3","4",TRUE,832,10,76
"143F",0.225182819977301,0.472809667673716,0.360749535116578,"1:2:3","4",TRUE,831,10,77
"143F",0.171207723388593,0.474320241691843,0.347275572627685,"1:2:3","4",TRUE,836,10,78
"143F",0.140771536691173,0.484138972809668,0.338222967309304,"1:2:3","4",TRUE,845,10,79
"143F",0.176410590004548,0.472809667673716,0.348662798924579,"1:2:3","4",TRUE,856,10,80
"143F",0.173190414803173,0.470543806646526,0.347530776850149,"1:2:3","4",TRUE,863,10,81
"143F",0.182190636295305,0.45619335347432,0.348594037021337,"1:2:3","4",TRUE,838,10,82
"143F",0.233634435306047,0.481873111782477,0.363191727221912,"1:2:3","4",TRUE,832,10,83
"143F",0.177224945914144,0.485649546827795,0.34965034965035,"1:2:3","4",TRUE,844,10,84
"143F",0.21904535766913,0.477341389728097,0.359697097181321,"1:2:3","4",TRUE,829,10,85
"143F",0.214058783653426,0.456948640483384,0.356641392867172,"1:2:3","4",TRUE,831,10,86
"143F",0.22107236304471,0.475075528700906,0.36,"1:2:3","4",TRUE,846,10,87
"143F",0.185578154995965,0.443353474320242,0.347697089573326,"1:2:3","4",TRUE,833,10,88
"143F",0.198394556982656,0.466767371601208,0.353935777209434,"1:2:3","4",TRUE,848,10,89
"143F",0.18816006427297,0.477341389728097,0.352166525063721,"1:2:3","4",TRUE,845,10,90
"143F",0.175599976093822,0.456948640483384,0.346909300982091,"1:2:3","4",TRUE,848,10,91
"143F",0.186864650406919,0.471299093655589,0.351313188364869,"1:2:3","4",TRUE,861,10,92
"143F",0.226743869361225,0.455438066465257,0.359301830566198,"1:2:3","4",TRUE,835,10,93
"143F",0.214058783653426,0.457703927492447,0.356754496026767,"1:2:3","4",TRUE,827,10,94
"143F",0.189028658728023,0.466012084592145,0.351500566251416,"1:2:3","4",TRUE,835,10,95
"143F",0.187727264903869,0.454682779456193,0.349808808950574,"1:2:3","4",TRUE,832,10,96
"143F",0.143719517853478,0.471299093655589,0.338461538461538,"1:2:3","4",TRUE,827,10,97
"143F",0.20584074883292,0.436555891238671,0.351605215196972,"1:2:3","4",TRUE,822,10,98
"143F",0.219550359926805,0.470543806646526,0.359263906315349,"1:2:3","4",TRUE,839,10,99
"143F",0.161257807999091,0.456948640483384,0.342712842712843,"1:2:3","4",TRUE,841,10,100
"143F",0.185578154995965,0.475075528700906,0.351347537745167,"1:2:3","4",TRUE,827,10,101
"143F",0.166158304595826,0.47809667673716,0.346027670803024,"1:2:3","4",TRUE,836,10,102
"143F",0.225701971963392,0.449395770392749,0.358269935193012,"1:2:3","4",TRUE,826,10,103
"143F",0.181353462834341,0.459214501510574,0.348738304508081,"1:2:3","4",TRUE,833,10,104
"143F",0.140771536691173,0.443353474320242,0.334189864382584,"1:2:3","4",TRUE,823,10,105
"143F",0.20726771192977,0.47583081570997,0.356814060538429,"1:2:3","4",TRUE,839,10,106
"143F",0.182190636295305,0.471299093655589,0.350084937712344,"1:2:3","4",TRUE,838,10,107
"143F",0.194773089402581,0.473564954682779,0.353637901861252,"1:2:3","4",TRUE,849,10,108
"143F",0.19612332745026,0.456948640483384,0.352287302265926,"1:2:3","4",TRUE,845,10,109
"143F",0.202549256366039,0.448640483383686,0.352740698665152,"1:2:3","4",TRUE,828,10,110
"143F",0.133202523099758,0.465256797583082,0.334189497716895,"1:2:3","4",TRUE,811,10,111
"143F",0.114949225807237,0.490936555891239,0.32858141160028,"1:2:3","4",TRUE,839,10,112
"143F",0.182190636295305,0.461480362537764,0.349167010877048,"1:2:3","4",TRUE,844,10,113
"143F",0.213566412932394,0.465256797583082,0.357471745500209,"1:2:3","4",TRUE,846,10,114
"143F",0.239077030953778,0.453172205438066,0.361561223051994,"1:2:3","4",TRUE,836,10,115
"143F",0.184300516639778,0.458459214501511,0.34938553872535,"1:2:3","4",TRUE,829,10,116
"143F",0.182190636295305,0.469788519637462,0.35,"1:2:3","4",TRUE,859,10,117
"143F",0.189028658728023,0.462235649546828,0.351138599943773,"1:2:3","4",TRUE,832,10,118
"143F",0.189028658728023,0.436555891238671,0.347468266145906,"1:2:3","4",TRUE,830,10,119
"143F",0.201618534209205,0.465256797583082,0.354582802096614,"1:2:3","4",TRUE,811,10,120
"143F",0.20069208875893,0.471299093655589,0.354860919856789,"1:2:3","4",TRUE,849,10,121
"143F",0.222092888996634,0.45166163141994,0.357713145138295,"1:2:3","4",TRUE,827,10,122
"143F",0.185151294446617,0.475075528700906,0.35122423571725,"1:2:3","4",TRUE,829,10,123
"143F",0.174793086987329,0.449395770392749,0.345651257552339,"1:2:3","4",TRUE,821,10,124
"143F",0.197028682342586,0.469033232628399,0.353857142857143,"1:2:3","4",TRUE,842,10,125
"143F",0.160886888283294,0.460725075528701,0.343043910757425,"1:2:3","4",TRUE,839,10,126
"143F",0.226222320838237,0.449395770392749,0.358314479638009,"1:2:3","4",TRUE,821,10,127
"143F",0.208704567254914,0.452416918429003,0.354783841247342,"1:2:3","4",TRUE,819,10,128
"143F",0.181771567601057,0.466012084592145,0.349564472368985,"1:2:3","4",TRUE,835,10,129
"143F",0.132590452032111,0.457703927492447,0.33323935720327,"1:2:3","4",TRUE,849,10,130
