"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143F",0.0892267448630224,0.437311178247734,0.311781609195402,"1:2:3","4",TRUE,832,1,1
"143F",0.0253186382714179,0.463746223564955,0.261724659606657,"1:2:3","4",TRUE,839,1,2
"143F",0.0888167443035728,0.462990936555891,0.314735336194564,"1:2:3","4",TRUE,828,1,3
"143F",0.0422145871437338,0.466012084592145,0.282208588957055,"1:2:3","4",TRUE,829,1,4
"143F",0.0582742305267491,0.460725075528701,0.295522388059701,"1:2:3","4",TRUE,853,1,5
"143F",0.103872754921144,0.469033232628399,0.322627737226277,"1:2:3","4",TRUE,825,1,6
"143F",0.0574745986973882,0.474320241691843,0.295918367346939,"1:2:3","4",TRUE,835,1,7
"143F",0.0636034023441649,0.447885196374622,0.29796511627907,"1:2:3","4",TRUE,838,1,8
"143F",0.0422145871437338,0.469033232628399,0.282420749279539,"1:2:3","4",TRUE,837,1,9
"143F",0.0457578959698525,0.465256797583082,0.285511363636364,"1:2:3","4",TRUE,836,1,10
"143F",0.0771771521293616,0.444864048338369,0.306240928882438,"1:2:3","4",TRUE,840,1,11
"143F",0.0520561022961649,0.454682779456193,0.29004329004329,"1:2:3","4",TRUE,854,1,12
"143F",0.0633111420965895,0.453172205438066,0.298350824587706,"1:2:3","4",TRUE,837,1,13
"143F",0.086994931281829,0.462990936555891,0.313753581661891,"1:2:3","4",TRUE,828,1,14
"143F",0.0537617067101656,0.471299093655589,0.292834890965732,"1:2:3","4",TRUE,828,1,15
"143F",0.0560369962145968,0.459214501510574,0.293685756240822,"1:2:3","4",TRUE,810,1,16
"143F",0.0395785378454205,0.463746223564955,0.279305354558611,"1:2:3","4",TRUE,823,1,17
"143F",0.126914239300108,0.459969788519637,0.331403762662808,"1:2:3","4",TRUE,825,1,18
"143F",0.0480250855107588,0.465256797583082,0.28755364806867,"1:2:3","4",TRUE,844,1,19
"143F",0.0695799718044909,0.465256797583082,0.303779069767442,"1:2:3","4",TRUE,833,1,20
"143F",0.0659905804169262,0.477341389728097,0.302222222222222,"1:2:3","4",TRUE,842,1,21
"143F",0.0687834172556711,0.475075528700906,0.304034582132565,"1:2:3","4",TRUE,841,1,22
"143F",0.0352740028347745,0.468277945619335,0.274963820549928,"1:2:3","4",TRUE,831,1,23
"143F",0.0646369786872222,0.473564954682779,0.301059001512859,"1:2:3","4",TRUE,838,1,24
"143F",0.102211779665878,0.438821752265861,0.318250377073906,"1:2:3","4",TRUE,842,1,25
"143F",0.0489180286310892,0.460725075528701,0.287925696594427,"1:2:3","4",TRUE,842,1,26
