"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"107A",0.0138807918383975,0.42627345844504,0.236363636363636,"1","2",TRUE,229,1,1
"107A",0.00942751950792797,0.439678284182306,0.225806451612903,"1","2",TRUE,226,1,2
"107A",0.481468919151456,0.410187667560322,0.386363636363636,"1","2",TRUE,234,1,3
"107A",0.0377100966736208,0.42627345844504,0.272727272727273,"1","2",TRUE,242,1,4
"107A",0.618841112105309,0.418230563002681,0.4,"1","2",TRUE,241,1,5
"107A",0.0208656511979627,0.493297587131367,0.255813953488372,"1","2",TRUE,233,1,6
"107A",0.0662952096295989,0.46916890080429,0.30188679245283,"1","2",TRUE,233,1,7
"107A",0.030440259107877,0.442359249329759,0.266666666666667,"1","2",TRUE,242,1,8
"107A",0.0387667011113255,0.439678284182306,0.275862068965517,"1","2",TRUE,239,1,9
"107A",0.0148736391802075,0.442359249329759,0.240740740740741,"1","2",TRUE,237,1,10
"107A",0.00624280167106444,0.46112600536193,0.215686274509804,"1","2",TRUE,228,1,11
"107A",0.0621554690174115,0.428954423592493,0.294117647058824,"1","2",TRUE,236,1,12
"107A",0.0691009389096882,0.423592493297587,0.297872340425532,"1","2",TRUE,232,1,13
"107A",0.0504046086348741,0.450402144772118,0.288135593220339,"1","2",TRUE,230,1,14
"107A",0.624567753720614,0.455764075067024,0.408163265306122,"1","2",TRUE,219,1,15
"107A",0.018172971378427,0.46916890080429,0.25,"1","2",TRUE,239,1,16
"107A",0.491551648496152,0.428954423592493,0.392156862745098,"1","2",TRUE,234,1,17
"107A",0.0359298617015072,0.42627345844504,0.270833333333333,"1","2",TRUE,238,1,18
"107A",0.0718597411648744,0.455764075067024,0.304347826086957,"1","2",TRUE,231,1,19
"107A",0.022306675188491,0.410187667560322,0.25,"1","2",TRUE,234,1,20
"107A",0.0377100966736208,0.42627345844504,0.272727272727273,"1","2",TRUE,231,1,21
"107A",0.0101718685705295,0.471849865951743,0.230769230769231,"1","2",TRUE,231,1,22
"107A",0.596454827214229,0.412868632707775,0.396825396825397,"1","2",TRUE,237,1,23
"107A",0.0440011823420567,0.455764075067024,0.283018867924528,"1","2",TRUE,237,1,24
"107A",0.00125403550012106,0.386058981233244,0.169491525423729,"1","2",TRUE,244,1,25
"107A",0.0631655159645922,0.453083109919571,0.298245614035088,"1","2",TRUE,230,1,26
"107A",0.0450262052296126,0.39142091152815,0.272727272727273,"1","2",TRUE,228,1,27
"107A",0.00869749002617784,0.450402144772118,0.224489795918367,"1","2",TRUE,231,1,28
"107A",0.0412535708246728,0.453083109919571,0.28,"1","2",TRUE,241,1,29
"107A",0.275133805034517,0.445040214477212,0.36734693877551,"1","2",TRUE,243,1,30
"107A",0.0527803477411423,0.420911528150134,0.285714285714286,"1","2",TRUE,242,1,31
"107A",0.00686094026847593,0.458445040214477,0.218181818181818,"1","2",TRUE,219,1,32
"107A",0.115479860511974,0.453083109919571,0.326086956521739,"1","2",TRUE,237,1,33
"107A",0.0806288840701764,0.431635388739946,0.306122448979592,"1","2",TRUE,250,1,34
"107A",0.000464800649947867,0.447721179624665,0.159090909090909,"1","2",TRUE,241,1,35
"107A",0.10363383034929,0.434316353887399,0.318181818181818,"1","2",TRUE,235,1,36
"107A",0.0131344484755704,0.431635388739946,0.235294117647059,"1","2",TRUE,238,1,37
"107A",0.0608805332638392,0.434316353887399,0.294117647058824,"1","2",TRUE,230,1,38
"107A",0.222092888996634,0.447721179624665,0.357142857142857,"1","2",TRUE,238,1,39
"107A",0.0702238520418134,0.458445040214477,0.303571428571429,"1","2",TRUE,244,1,40
"107A",0.0834626460514387,0.455764075067024,0.311111111111111,"1","2",TRUE,239,1,41
"107A",0.0152903857427699,0.39142091152815,0.233333333333333,"1","2",TRUE,235,1,42
"107A",0.0014135625524915,0.407506702412869,0.175,"1","2",TRUE,229,1,43
"107A",0.000304963894324544,0.474530831099196,0.153846153846154,"1","2",TRUE,241,1,44
"107A",0.0244590082699121,0.458445040214477,0.26,"1","2",TRUE,241,1,45
"107A",0.0112306538197507,0.453083109919571,0.232558139534884,"1","2",TRUE,230,1,46
"107A",0.0784313063998175,0.450402144772118,0.307692307692308,"1","2",TRUE,228,1,47
"107A",0.00723412383126131,0.434316353887399,0.217391304347826,"1","2",TRUE,237,1,48
"107A",0.207745561191591,0.412868632707775,0.346938775510204,"1","2",TRUE,232,1,49
"107A",0.0415395556139522,0.450402144772118,0.28,"1","2",TRUE,228,1,50
"107A",0.0884086277135429,0.445040214477212,0.3125,"1","2",TRUE,242,1,51
"107A",0.203484274971792,0.420911528150134,0.347826086956522,"1","2",TRUE,236,1,52
"107A",0.164634804453273,0.428954423592493,0.339285714285714,"1","2",TRUE,242,1,53
"107A",0.10927073149133,0.477211796246649,0.325581395348837,"1","2",TRUE,241,1,54
"107A",0.0771771521293616,0.410187667560322,0.3,"1","2",TRUE,228,1,55
"107A",0.2894317394098,0.415549597855228,0.363636363636364,"1","2",TRUE,239,1,56
"107A",0.0326175506263379,0.431635388739946,0.267857142857143,"1","2",TRUE,234,1,57
"107A",0.20584074883292,0.418230563002681,0.347826086956522,"1","2",TRUE,236,1,58
"107A",0.00533792831602254,0.428954423592493,0.208333333333333,"1","2",TRUE,231,1,59
"107A",0.00514483128081731,0.463806970509383,0.210526315789474,"1","2",TRUE,231,1,60
"107A",0.0160110731628858,0.423592493297587,0.240740740740741,"1","2",TRUE,231,1,61
"107A",2.41901389971648,0.453083109919571,0.458333333333333,"1","2",TRUE,237,1,62
"107A",0.000885716488281601,0.455764075067024,0.170731707317073,"1","2",TRUE,236,1,63
"107A",0.00806103188644836,0.450402144772118,0.222222222222222,"1","2",TRUE,237,1,64
