iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,horiz_ingress_rate,horiz_egress_rate,rho,sigma,tau,tau_predicted,tau_predicted_lambda
50000000,1,50000000,2500,50,0,0.5,0.292826,0.0152064,0.0465343,0.0465343,0.848,0.2052,0.469534,0.308032,0.442262
50000000,2,50000000,2500,50,0,0.5,0.17002,0.3072,0.0404884,0.0404884,0.3796,0.3852,0.592485,0.47722,0.60738
50000000,3,50000000,2500,50,0,0.5,0.370869,0.0646543,0.385229,0.385229,0.6272,0.448,5.00922,0.435523,5.25388
50000000,4,50000000,2500,50,0,0.5,0.49345,0.120463,0.435397,0.435397,0.6136,0.4668,15.0598,0.613913,11.491
50000000,5,50000000,2500,50,0,0.5,0.0493195,0.0424759,0.386275,0.386275,0.5084,0.4676,2.95629,0.0917954,3.80017
50000000,6,50000000,2500,50,0,0.5,0.152321,0.338978,0.304884,0.304884,0.4196,0.4504,2.41401,0.4913,2.82157
50000000,7,50000000,2500,50,0,0.5,0.48267,0.138161,0.386272,0.386272,0.6296,0.446,4.77274,0.620831,6.12589
50000000,8,50000000,2500,50,0,0.5,0.390592,0.221969,0.0659529,0.0659529,0.6164,0.3948,0.713979,0.612561,0.857588
50000000,9,50000000,2500,50,0,0.5,0.223216,0.178249,0.0554391,0.0554391,0.546,0.416,0.749355,0.401465,0.576235
50000000,10,50000000,2500,50,0,0.5,0.359422,0.270519,0.144265,0.144265,0.5764,0.4224,1.01789,0.629941,1.29095
50000000,11,50000000,2500,50,0,0.5,0.171173,0.312473,0.494604,0.494604,0.432,0.4844,18.3158,0.483646,136.464
50000000,12,50000000,2500,50,0,0.5,0.270979,0.188652,0.288185,0.288185,0.5288,0.4608,2.41401,0.459631,2.44554
50000000,13,50000000,2500,50,0,0.5,0.39637,0.324684,0.365304,0.365304,0.5308,0.4708,3.62874,0.721053,5.38866
50000000,14,50000000,2500,50,0,0.5,0.346975,0.404277,0.160141,0.160141,0.4944,0.4492,1.58752,0.751252,1.57644
50000000,15,50000000,2500,50,0,0.5,0.409317,0.386433,0.0898954,0.0898954,0.546,0.4444,1.5407,0.79575,1.18938
50000000,16,50000000,2500,50,0,0.5,0.485948,0.0187619,0.477405,0.477405,0.6528,0.446,14.5484,0.50471,32.2968
50000000,17,50000000,2500,50,0,0.5,0.426113,0.485686,0.144223,0.144223,0.4608,0.452,1.87814,0.911799,1.6868
50000000,18,50000000,2500,50,0,0.5,0.440292,0.484328,0.160696,0.160696,0.49,0.4728,3.69621,0.92462,1.83613
50000000,19,50000000,2500,50,0,0.5,0.3697,0.0962529,0.152991,0.152991,0.6588,0.4008,1.43786,0.465953,1.11227
50000000,20,50000000,2500,50,0,0.5,0.162355,0.121849,0.357439,0.357439,0.5228,0.4808,5.91258,0.284204,3.50406
50000000,21,50000000,2500,50,0,0.5,0.132338,0.174173,0.208649,0.208649,0.4616,0.444,1.47474,0.306511,1.24216
50000000,22,50000000,2500,50,0,0.5,0.484332,0.00312042,0.32867,0.32867,0.7092,0.3932,4.41331,0.487452,3.34091
50000000,23,50000000,2500,50,0,0.5,0.0432015,0.37067,0.149621,0.149621,0.282,0.3444,0.854463,0.413871,1.01763
50000000,24,50000000,2500,50,0,0.5,0.123397,0.322582,0.3268,0.3268,0.4112,0.4664,5.83145,0.445978,3.1743
50000000,25,50000000,2500,50,0,0.5,0.0552782,0.0447423,0.259657,0.259657,0.512,0.4552,1.91747,0.10002,1.28844
50000000,26,50000000,2500,50,0,0.5,0.394924,0.17088,0.42438,0.42438,0.588,0.478,17.6126,0.565804,9.35311
50000000,27,50000000,2500,50,0,0.5,0.485758,0.166875,0.336687,0.336687,0.6224,0.4456,3.87043,0.652634,4.05971
50000000,28,50000000,2500,50,0,0.5,0.0880334,0.3532,0.358353,0.358353,0.4124,0.4568,3.41785,0.441233,4.08741
50000000,29,50000000,2500,50,0,0.5,0.459234,0.438271,0.356565,0.356565,0.5192,0.4736,3.92427,0.897505,5.6145
50000000,30,50000000,2500,50,0,0.5,0.342569,0.273128,0.357262,0.357262,0.5084,0.4668,2.8625,0.615697,4.65967
50000000,31,50000000,2500,50,0,0.5,0.250637,0.167088,0.287305,0.287305,0.596,0.4308,1.50217,0.417726,2.33276
50000000,32,50000000,2500,50,0,0.5,0.0453569,0.298297,0.179438,0.179438,0.3248,0.3732,0.858407,0.343654,1.09578
50000000,33,50000000,2500,50,0,0.5,0.357467,0.174376,0.423952,0.423952,0.5528,0.4884,19.5357,0.531843,9.07162
50000000,34,50000000,2500,50,0,0.5,0.162105,0.400687,0.115516,0.115516,0.3328,0.384,1.01321,0.562792,1.03232
