iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,horiz_ingress_rate,horiz_egress_rate,rho,sigma,tau,tau_predicted
100000000,1,100000000,1600,192,0,0.0909091,0.05,0.05,0,0,0.456875,0.416875,0.756289,1
100000000,2,100000000,1600,192,0,0.186047,0.178571,0.05,0,0,0.77375,0.305625,1.12384,1
100000000,3,100000000,1600,192,0,0.263158,0.307143,0.05,0,0,0.848125,0.225,1.12903,1
100000000,4,100000000,1600,192,0,0.326923,0.435714,0.05,0,0,0.900625,0.148125,0.658691,1
100000000,5,100000000,1600,192,0,0.380531,0.564286,0.05,0,0,0.93875,0.10375,1.67773,1
100000000,6,100000000,1600,192,0,0.42623,0.692857,0.05,0,0,0.9475,0.086875,1.12643,1
100000000,7,100000000,1600,192,0,0.465649,0.821429,0.05,0,0,0.940625,0.095,0.854463,1
100000000,8,100000000,1600,192,0,0.5,0.95,0.05,0,0,0.9675,0.0525,0.713979,1
100000000,9,100000000,1600,192,0,0.186047,0.05,0.178571,0,0,0.223125,0.296875,0.91558,1
100000000,10,100000000,1600,192,0,0.263158,0.178571,0.178571,0,0,0.515625,0.438125,1.18497,1
100000000,11,100000000,1600,192,0,0.326923,0.307143,0.178571,0,0,0.638125,0.39375,0.876384,1
100000000,12,100000000,1600,192,0,0.380531,0.435714,0.178571,0,0,0.71125,0.350625,0.886533,1
100000000,13,100000000,1600,192,0,0.42623,0.564286,0.178571,0,0,0.7475,0.3325,1.24368,1
100000000,14,100000000,1600,192,0,0.465649,0.692857,0.178571,0,0,0.785625,0.28875,0.926183,1
100000000,15,100000000,1600,192,0,0.5,0.821429,0.178571,0,0,0.824375,0.25125,1.05124,1
100000000,16,100000000,1600,192,0,0.530201,0.95,0.178571,0,0,0.881875,0.185,1.36998,1
100000000,17,100000000,1600,192,0,0.263158,0.05,0.307143,0,0,0.118125,0.184375,1.31435,1
100000000,18,100000000,1600,192,0,0.326923,0.178571,0.307143,0,0,0.3575,0.403125,1.19044,1
100000000,19,100000000,1600,192,0,0.380531,0.307143,0.307143,0,0,0.50125,0.43,0.956529,1
100000000,20,100000000,1600,192,0,0.42623,0.435714,0.307143,0,0,0.565625,0.424375,0.999309,1
100000000,21,100000000,1600,192,0,0.465649,0.564286,0.307143,0,0,0.6175,0.398125,0.781069,1
100000000,22,100000000,1600,192,0,0.5,0.692857,0.307143,0,0,0.70625,0.36375,1.17953,1
100000000,23,100000000,1600,192,0,0.530201,0.821429,0.307143,0,0,0.73125,0.345,1.19594,1
100000000,24,100000000,1600,192,0,0.556962,0.95,0.307143,0,0,0.75375,0.335,1.6816,1
100000000,25,100000000,1600,192,0,0.326923,0.05,0.435714,0,0,0.089375,0.14625,1.58752,1
100000000,26,100000000,1600,192,0,0.380531,0.178571,0.435714,0,0,0.3225,0.37,0.817883,1
100000000,27,100000000,1600,192,0,0.42623,0.307143,0.435714,0,0,0.404375,0.411875,0.900939,1
100000000,28,100000000,1600,192,0,0.465649,0.435714,0.435714,0,0,0.5025,0.438125,1.1714,1
100000000,29,100000000,1600,192,0,0.5,0.564286,0.435714,0,0,0.585,0.40875,0.772127,1
100000000,30,100000000,1600,192,0,0.530201,0.692857,0.435714,0,0,0.605,0.411875,0.97656,1
100000000,31,100000000,1600,192,0,0.556962,0.821429,0.435714,0,0,0.668125,0.37375,0.781069,1
100000000,32,100000000,1600,192,0,0.580838,0.95,0.435714,0,0,0.699375,0.37,1.22944,1
100000000,33,100000000,1600,192,0,0.380531,0.05,0.564286,0,0,0.076875,0.124375,1.17411,1
100000000,34,100000000,1600,192,0,0.42623,0.178571,0.564286,0,0,0.241875,0.3075,0.744196,1
100000000,35,100000000,1600,192,0,0.465649,0.307143,0.564286,0,0,0.36875,0.394375,0.821659,1
100000000,36,100000000,1600,192,0,0.5,0.435714,0.564286,0,0,0.42,0.414375,0.854463,1
100000000,37,100000000,1600,192,0,0.530201,0.564286,0.564286,0,0,0.50625,0.42375,0.825452,1
100000000,38,100000000,1600,192,0,0.556962,0.692857,0.564286,0,0,0.546875,0.429375,1.03443,1
100000000,39,100000000,1600,192,0,0.580838,0.821429,0.564286,0,0,0.591875,0.419375,1.05609,1
100000000,40,100000000,1600,192,0,0.602273,0.95,0.564286,0,0,0.611875,0.405625,0.890625,1
100000000,41,100000000,1600,192,0,0.42623,0.05,0.692857,0,0,0.055,0.0925,1.40512,1
100000000,42,100000000,1600,192,0,0.465649,0.178571,0.692857,0,0,0.19875,0.27875,1.15533,1
100000000,43,100000000,1600,192,0,0.5,0.307143,0.692857,0,0,0.30375,0.379375,1.55138,1
100000000,44,100000000,1600,192,0,0.530201,0.435714,0.692857,0,0,0.3825,0.404375,0.911373,1
100000000,45,100000000,1600,192,0,0.556962,0.564286,0.692857,0,0,0.45125,0.42125,0.854463,1
100000000,46,100000000,1600,192,0,0.580838,0.692857,0.692857,0,0,0.481875,0.42125,0.788297,1
100000000,47,100000000,1600,192,0,0.602273,0.821429,0.692857,0,0,0.553125,0.42375,0.924052,1
100000000,48,100000000,1600,192,0,0.621622,0.95,0.692857,0,0,0.584375,0.41375,0.866351,1
100000000,49,100000000,1600,192,0,0.465649,0.05,0.821429,0,0,0.043125,0.069375,0.761532,1
100000000,50,100000000,1600,192,0,0.5,0.178571,0.821429,0,0,0.174375,0.249375,1.02968,1
100000000,51,100000000,1600,192,0,0.530201,0.307143,0.821429,0,0,0.28125,0.34875,0.987869,1
100000000,52,100000000,1600,192,0,0.556962,0.435714,0.821429,0,0,0.3425,0.395,1.18497,1
100000000,53,100000000,1600,192,0,0.580838,0.564286,0.821429,0,0,0.399375,0.401875,0.737372,1
100000000,54,100000000,1600,192,0,0.602273,0.692857,0.821429,0,0,0.45875,0.41875,0.784674,1
100000000,55,100000000,1600,192,0,0.621622,0.821429,0.821429,0,0,0.499375,0.420625,0.768579,1
100000000,56,100000000,1600,192,0,0.639175,0.95,0.821429,0,0,0.526875,0.415,0.694519,1
100000000,57,100000000,1600,192,0,0.5,0.05,0.95,0,0,0.046875,0.071875,0.512473,1
100000000,58,100000000,1600,192,0,0.530201,0.178571,0.95,0,0,0.1475,0.21875,1.0807,1
100000000,59,100000000,1600,192,0,0.556962,0.307143,0.95,0,0,0.236875,0.310625,0.947758,1
100000000,60,100000000,1600,192,0,0.580838,0.435714,0.95,0,0,0.316875,0.36625,0.810384,1
100000000,61,100000000,1600,192,0,0.602273,0.564286,0.95,0,0,0.393125,0.408125,0.905098,1
100000000,62,100000000,1600,192,0,0.621622,0.692857,0.95,0,0,0.4525,0.41375,0.715625,1
100000000,63,100000000,1600,192,0,0.639175,0.821429,0.95,0,0,0.454375,0.430625,1.06097,1
100000000,64,100000000,1600,192,0,0.655172,0.95,0.95,0,0,0.50125,0.43375,1.04882,1
100000000,65,100000000,1600,192,0,0.5,0.05,0.05,0,0,0.46625,0.344375,0.163539,0.1
100000000,66,100000000,1600,192,0,0.695652,0.178571,0.05,0,0,0.826875,0.18,0.0848385,0.1
100000000,67,100000000,1600,192,0,0.78125,0.307143,0.05,0,0,0.8125,0.203125,0.12636,0.1
100000000,68,100000000,1600,192,0,0.829268,0.435714,0.05,0,0,0.8925,0.115625,0.0636181,0.1
100000000,69,100000000,1600,192,0,0.86,0.564286,0.05,0,0,0.953125,0.066875,0.288833,0.1
100000000,70,100000000,1600,192,0,0.881356,0.692857,0.05,0,0,0.945,0.06625,0.0930244,0.1
100000000,71,100000000,1600,192,0,0.897059,0.821429,0.05,0,0,0.96625,0.045,0.160554,0.1
100000000,72,100000000,1600,192,0,0.909091,0.95,0.05,0,0,0.948125,0.060625,0.0742313,0.1
100000000,73,100000000,1600,192,0,0.695652,0.05,0.178571,0,0,0.203125,0.20375,0.0854266,0.1
100000000,74,100000000,1600,192,0,0.78125,0.178571,0.178571,0,0,0.52125,0.325,0.107548,0.1
100000000,75,100000000,1600,192,0,0.829268,0.307143,0.178571,0,0,0.624375,0.314375,0.131103,0.1
100000000,76,100000000,1600,192,0,0.86,0.435714,0.178571,0,0,0.71125,0.25625,0.080462,0.1
100000000,77,100000000,1600,192,0,0.881356,0.564286,0.178571,0,0,0.748125,0.23875,0.0892473,0.1
100000000,78,100000000,1600,192,0,0.897059,0.692857,0.178571,0,0,0.771875,0.214375,0.0681684,0.1
100000000,79,100000000,1600,192,0,0.909091,0.821429,0.178571,0,0,0.8225,0.183125,0.0834819,0.1
100000000,80,100000000,1600,192,0,0.918605,0.95,0.178571,0,0,0.85125,0.17375,0.15439,0.1
100000000,81,100000000,1600,192,0,0.78125,0.05,0.307143,0,0,0.135625,0.150625,0.0980842,0.1
100000000,82,100000000,1600,192,0,0.829268,0.178571,0.307143,0,0,0.426875,0.3225,0.116844,0.1
100000000,83,100000000,1600,192,0,0.86,0.307143,0.307143,0,0,0.446875,0.32125,0.106072,0.1
100000000,84,100000000,1600,192,0,0.881356,0.435714,0.307143,0,0,0.554375,0.31875,0.101065,0.1
100000000,85,100000000,1600,192,0,0.897059,0.564286,0.307143,0,0,0.6075,0.294375,0.0749182,0.1
100000000,86,100000000,1600,192,0,0.909091,0.692857,0.307143,0,0,0.71875,0.265625,0.114447,0.1
100000000,87,100000000,1600,192,0,0.918605,0.821429,0.307143,0,0,0.7175,0.264375,0.108794,0.1
100000000,88,100000000,1600,192,0,0.926316,0.95,0.307143,0,0,0.761875,0.225,0.0773729,0.1
100000000,89,100000000,1600,192,0,0.829268,0.05,0.435714,0,0,0.08625,0.1,0.0902808,0.1
100000000,90,100000000,1600,192,0,0.86,0.178571,0.435714,0,0,0.355625,0.288125,0.0848385,0.1
100000000,91,100000000,1600,192,0,0.881356,0.307143,0.435714,0,0,0.4725,0.315,0.0878202,0.1
100000000,92,100000000,1600,192,0,0.897059,0.435714,0.435714,0,0,0.504375,0.323125,0.102235,0.1
100000000,93,100000000,1600,192,0,0.909091,0.564286,0.435714,0,0,0.58,0.33125,0.144749,0.1
100000000,94,100000000,1600,192,0,0.918605,0.692857,0.435714,0,0,0.65125,0.2875,0.0888372,0.1
100000000,95,100000000,1600,192,0,0.926316,0.821429,0.435714,0,0,0.618125,0.283125,0.0617418,0.1
100000000,96,100000000,1600,192,0,0.932692,0.95,0.435714,0,0,0.693125,0.270625,0.0919594,0.1
100000000,97,100000000,1600,192,0,0.86,0.05,0.564286,0,0,0.076875,0.100625,0.19437,0.1
100000000,98,100000000,1600,192,0,0.881356,0.178571,0.564286,0,0,0.228125,0.221875,0.0860188,0.1
100000000,99,100000000,1600,192,0,0.897059,0.307143,0.564286,0,0,0.316875,0.281875,0.107548,0.1
100000000,100,100000000,1600,192,0,0.909091,0.435714,0.564286,0,0,0.444375,0.320625,0.105585,0.1
100000000,101,100000000,1600,192,0,0.918605,0.564286,0.564286,0,0,0.471875,0.315,0.0878202,0.1
100000000,102,100000000,1600,192,0,0.926316,0.692857,0.564286,0,0,0.49875,0.33625,0.134157,0.1
100000000,103,100000000,1600,192,0,0.932692,0.821429,0.564286,0,0,0.588125,0.336875,0.169287,0.1
100000000,104,100000000,1600,192,0,0.938053,0.95,0.564286,0,0,0.674375,0.2975,0.141129,0.1
100000000,105,100000000,1600,192,0,0.881356,0.05,0.692857,0,0,0.095625,0.120625,0.172832,0.1
100000000,106,100000000,1600,192,0,0.897059,0.178571,0.692857,0,0,0.268125,0.235,0.0610349,0.1
100000000,107,100000000,1600,192,0,0.909091,0.307143,0.692857,0,0,0.288125,0.279375,0.146425,0.1
100000000,108,100000000,1600,192,0,0.918605,0.435714,0.692857,0,0,0.405625,0.31,0.0987642,0.1
100000000,109,100000000,1600,192,0,0.926316,0.564286,0.692857,0,0,0.42375,0.3125,0.0956309,0.1
100000000,110,100000000,1600,192,0,0.932692,0.692857,0.692857,0,0,0.5425,0.2975,0.0614581,0.1
100000000,111,100000000,1600,192,0,0.938053,0.821429,0.692857,0,0,0.50375,0.3275,0.1121,0.1
100000000,112,100000000,1600,192,0,0.942623,0.95,0.692857,0,0,0.5725,0.330625,0.138234,0.1
100000000,113,100000000,1600,192,0,0.897059,0.05,0.821429,0,0,0.04125,0.049375,0.0808334,0.1
100000000,114,100000000,1600,192,0,0.909091,0.178571,0.821429,0,0,0.18375,0.20375,0.143753,0.1
100000000,115,100000000,1600,192,0,0.918605,0.307143,0.821429,0,0,0.32625,0.293125,0.126651,0.1
100000000,116,100000000,1600,192,0,0.926316,0.435714,0.821429,0,0,0.351875,0.290625,0.0928104,0.1
100000000,117,100000000,1600,192,0,0.932692,0.564286,0.821429,0,0,0.450625,0.338125,0.149492,0.1
100000000,118,100000000,1600,192,0,0.938053,0.692857,0.821429,0,0,0.480625,0.310625,0.0789932,0.1
100000000,119,100000000,1600,192,0,0.942623,0.821429,0.821429,0,0,0.5,0.335,0.130801,0.1
100000000,120,100000000,1600,192,0,0.946565,0.95,0.821429,0,0,0.52875,0.345,0.164294,0.1
100000000,121,100000000,1600,192,0,0.909091,0.05,0.95,0,0,0.060625,0.069375,0.0684831,0.1
100000000,122,100000000,1600,192,0,0.918605,0.178571,0.95,0,0,0.188125,0.189375,0.0771949,0.1
100000000,123,100000000,1600,192,0,0.926316,0.307143,0.95,0,0,0.269375,0.266875,0.142107,0.1
100000000,124,100000000,1600,192,0,0.932692,0.435714,0.95,0,0,0.3225,0.290625,0.12434,0.1
100000000,125,100000000,1600,192,0,0.938053,0.564286,0.95,0,0,0.353125,0.279375,0.070402,0.1
100000000,126,100000000,1600,192,0,0.942623,0.692857,0.95,0,0,0.43125,0.281875,0.046192,0.1
100000000,127,100000000,1600,192,0,0.946565,0.821429,0.95,0,0,0.440625,0.33125,0.13354,0.1
100000000,128,100000000,1600,192,0,0.95,0.95,0.95,0,0,0.4875,0.300625,0.0630347,0.1
100000000,129,100000000,1600,192,0,0.909091,0.05,0.05,0,0,0.4675,0.220625,0.00731958,0.01
100000000,130,100000000,1600,192,0,0.958084,0.178571,0.05,0,0,0.71625,0.20375,0.0180105,0.01
100000000,131,100000000,1600,192,0,0.972763,0.307143,0.05,0,0,0.86875,0.11625,0.0203016,0.01
100000000,132,100000000,1600,192,0,0.979827,0.435714,0.05,0,0,0.828125,0.140625,0.0162376,0.01
100000000,133,100000000,1600,192,0,0.983982,0.564286,0.05,0,0,0.9375,0.064375,0.0340058,0.01
100000000,134,100000000,1600,192,0,0.986717,0.692857,0.05,0,0,0.9375,0.036875,0.000372698,0.01
100000000,135,100000000,1600,192,0,0.988655,0.821429,0.05,0,0,0.991875,0.01125,0.17403,0.01
100000000,136,100000000,1600,192,0,0.990099,0.95,0.05,0,0,0.939375,0.058125,0.0204424,0.01
100000000,137,100000000,1600,192,0,0.958084,0.05,0.178571,0,0,0.198125,0.14,0.00700623,0.01
100000000,138,100000000,1600,192,0,0.972763,0.178571,0.178571,0,0,0.573125,0.2025,0.00430986,0.01
100000000,139,100000000,1600,192,0,0.979827,0.307143,0.178571,0,0,0.764375,0.179375,0.0171998,0.01
100000000,140,100000000,1600,192,0,0.983982,0.435714,0.178571,0,0,0.6275,0.21,0.00811878,0.01
100000000,141,100000000,1600,192,0,0.986717,0.564286,0.178571,0,0,0.823125,0.15625,0.0290099,0.01
100000000,142,100000000,1600,192,0,0.988655,0.692857,0.178571,0,0,0.761875,0.158125,0.00644883,0.01
100000000,143,100000000,1600,192,0,0.990099,0.821429,0.178571,0,0,0.909375,0.09375,0.0431086,0.01
100000000,144,100000000,1600,192,0,0.991217,0.95,0.178571,0,0,0.933125,0.0725,0.0497244,0.01
