iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,horiz_ingress_rate,horiz_egress_rate,rho,sigma,tau,tau_predicted
25000000,1,25000000,2500,100,0,0.517425,0.176688,0.057853,0.0539728,0.23374,0.4156,0.4036,0.683413,0.71103
25000000,2,25000000,2500,100,0,0.91287,0.0618763,0.0774704,0.0345467,0.151921,0.216,0.2384,0.184768,0.245556
25000000,3,25000000,2500,100,0,0.520671,0.171624,0.158162,0.0556151,0.0528383,0.5248,0.3868,0.37989,0.462179
25000000,4,25000000,2500,100,0,0.824673,0.116287,0.0675923,0.100329,0.179319,0.4012,0.372,0.374677,0.442479
25000000,5,25000000,2500,100,0,0.567248,0.13786,0.00941692,0.0186572,0.135278,0.432,0.3768,0.351281,0.314742
25000000,6,25000000,2500,100,0,0.837392,0.130888,0.178059,0.217634,0.00210033,0.8676,0.1768,0.357812,0.358502
25000000,7,25000000,2500,100,0,0.790103,0.00411455,0.225412,0.0313427,0.0325447,0.27,0.27,0.152271,0.133385
25000000,8,25000000,2500,100,0,0.700415,0.161767,0.104771,0.0902673,0.0788673,0.5596,0.392,0.466302,0.340777
25000000,9,25000000,2500,100,0,0.920267,0.215771,0.189739,0.247553,0.202081,0.5576,0.4212,0.888577,0.880807
25000000,10,25000000,2500,100,0,0.628147,0.0108397,0.245111,0.0419496,0.00430849,0.254,0.2664,0.183074,0.207369
25000000,11,25000000,2500,100,0,0.507838,0.184342,0.169853,0.221912,0.170722,0.532,0.44,1.29036,1.21162
25000000,12,25000000,2500,100,0,0.93314,0.218292,0.220407,0.0246773,0.0869363,0.2932,0.2868,0.163916,0.161018
25000000,13,25000000,2500,100,0,0.75456,0.0693807,0.172024,0.132266,0.180841,0.4112,0.398,0.618984,0.570145
25000000,14,25000000,2500,100,0,0.774775,0.0515664,0.00275772,0.217493,0.119883,0.6776,0.3612,0.652652,0.532984
25000000,15,25000000,2500,100,0,0.830777,0.212965,0.0455799,0.136163,0.189947,0.4776,0.4012,0.511294,0.562071
25000000,16,25000000,2500,100,0,0.745214,0.125099,0.214285,0.229651,0.0584757,0.7056,0.3404,0.602113,0.567743
25000000,17,25000000,2500,100,0,0.775843,0.244605,0.0936883,0.0274703,0.0447424,0.5784,0.3416,0.178495,0.18318
25000000,18,25000000,2500,100,0,0.751012,0.036532,0.053875,0.0969213,0.232849,0.294,0.33,0.464159,0.536747
25000000,19,25000000,2500,100,0,0.855987,0.210488,0.0894931,0.0373275,0.00216874,0.8332,0.1864,0.131708,0.0936654
25000000,20,25000000,2500,100,0,0.824269,0.248618,0.0796785,0.069839,0.165749,0.3672,0.3576,0.356989,0.399757
25000000,21,25000000,2500,100,0,0.837461,0.0462817,0.0331139,0.217176,0.0910426,0.7008,0.3324,0.453592,0.467819
25000000,22,25000000,2500,100,0,0.914707,0.0617304,0.076026,0.0457255,0.104756,0.3004,0.3104,0.261602,0.192258
25000000,23,25000000,2500,100,0,0.58337,0.148418,0.0335038,0.095598,0.145238,0.5296,0.4024,0.530484,0.488379
25000000,24,25000000,2500,100,0,0.791126,0.0342386,0.204046,0.0674688,0.0998106,0.336,0.3312,0.271421,0.276433
25000000,25,25000000,2500,100,0,0.641846,0.050805,0.09988,0.197995,0.118235,0.5812,0.4024,0.65115,0.58545
25000000,26,25000000,2500,100,0,0.505965,0.229332,0.143653,0.149672,0.102629,0.618,0.3944,0.717275,0.82452
25000000,27,25000000,2500,100,0,0.87587,0.0509902,0.11288,0.24029,0.0536498,0.7844,0.2744,0.551663,0.449201
25000000,28,25000000,2500,100,0,0.916136,0.0544917,0.209549,0.160239,0.0186942,0.822,0.2136,0.239683,0.247366
25000000,29,25000000,2500,100,0,0.681115,0.130048,0.10535,0.126027,0.23784,0.3948,0.4076,0.880429,0.745248
25000000,30,25000000,2500,100,0,0.669421,0.211837,0.156616,0.0189618,0.0454315,0.5316,0.386,0.378144,0.263301
25000000,31,25000000,2500,100,0,0.703612,0.0903011,0.0314322,0.231329,0.190327,0.5548,0.424,0.936908,0.817741
25000000,32,25000000,2500,100,0,0.610549,0.166527,0.196121,0.0768117,0.116695,0.4548,0.3896,0.421369,0.526761
