iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,horiz_ingress_rate,horiz_egress_rate,rho,sigma,tau,tau_predicted
25000000,1,25000000,2639,100,0,0.628931,0.0541134,0.126183,0.0434118,0.0608578,0.358469,0.366679,0.476067,0.235165
25000000,2,25000000,2639,100,0,0.625215,0.0252583,0.139552,0.0404155,0.0608965,0.261463,0.305061,0.440215,0.222666
25000000,3,25000000,2639,100,0,0.711108,0.110682,0.0675934,0.0635653,0.0432887,0.596438,0.371549,0.366148,0.200728
25000000,4,25000000,2639,100,0,0.501762,0.158636,0.179471,0.237036,0.246008,0.484653,0.48194,6.14864,1.58384
25000000,5,25000000,2639,100,0,0.834027,0.0564314,0.22583,0.192646,0.117753,0.564987,0.433129,1.24942,0.531568
25000000,6,25000000,2639,100,0,0.831524,0.0785671,0.0711643,0.132282,0.0482193,0.714665,0.3426,0.758033,0.257278
25000000,7,25000000,2639,100,0,0.632264,0.21954,0.0150487,0.212219,0.249703,0.558545,0.457132,2.51617,1.11204
25000000,8,25000000,2639,100,0,0.592615,0.0862003,0.0611838,0.0902605,0.0352475,0.660477,0.363497,0.546605,0.259379
25000000,9,25000000,2639,100,0,0.923448,0.166531,0.15815,0.01345,0.207571,0.111785,0.163535,0.630493,0.318283
25000000,10,25000000,2639,100,0,0.909178,0.216196,0.00490054,0.00384185,0.0200734,0.589238,0.27431,0.0420303,0.0471289
25000000,11,25000000,2639,100,0,0.925118,0.184929,0.190762,0.0154587,0.221378,0.100038,0.155637,1.00856,0.350182
25000000,12,25000000,2639,100,0,0.819452,0.0341376,0.151956,0.193501,0.0303105,0.753316,0.308627,0.678708,0.34117
25000000,13,25000000,2639,100,0,0.757618,0.031071,0.0614281,0.0554878,0.0670021,0.370595,0.365184,0.409884,0.173312
25000000,14,25000000,2639,100,0,0.690156,0.211648,0.00508746,0.0465586,0.167459,0.453581,0.419363,0.810384,0.39609
25000000,15,25000000,2639,100,0,0.824547,0.0275732,0.205367,0.232491,0.117501,0.605532,0.434969,1.90427,0.614697
25000000,16,25000000,2639,100,0,0.943962,0.0301349,0.177391,0.213057,0.21029,0.496779,0.466373,2.80379,0.755512
25000000,17,25000000,2639,100,0,0.663888,0.0461459,0.213388,0.167071,0.207514,0.383858,0.43842,2.51038,0.809032
25000000,18,25000000,2639,100,0,0.512846,0.195997,0.00832588,0.136927,0.0733702,0.817355,0.267676,1.54425,0.512071
25000000,19,25000000,2639,100,0,0.555104,0.14293,0.184289,0.0680836,0.0478067,0.450928,0.4301,1.06341,0.427713
25000000,20,25000000,2639,100,0,0.651599,0.247576,0.214323,0.0868918,0.0887487,0.514589,0.448773,1.58387,0.512654
25000000,21,25000000,2639,100,0,0.772944,0.0976674,0.132428,0.135312,0.0209143,0.724896,0.33171,0.689738,0.265258
25000000,22,25000000,2639,100,0,0.818746,0.194127,0.0277436,0.159404,0.235315,0.447518,0.43888,1.36055,0.733274
25000000,23,25000000,2639,100,0,0.931054,0.167279,0.159503,0.0238976,0.141401,0.189466,0.250575,0.578997,0.227024
25000000,24,25000000,2639,100,0,0.91928,0.0926216,0.131436,0.246118,0.232002,0.511178,0.467676,2.97678,0.953848
25000000,25,25000000,2639,100,0,0.746586,0.0134938,0.00344172,0.184904,0.0745054,0.71618,0.349923,0.96538,0.358036
25000000,26,25000000,2639,100,0,0.892966,0.115008,0.112379,0.0411147,0.100332,0.325123,0.332132,0.314521,0.196496
25000000,27,25000000,2639,100,0,0.741733,0.209157,0.0283243,0.178926,0.217878,0.523683,0.471127,3.5625,0.794922
25000000,28,25000000,2639,100,0,0.797658,0.150834,0.142574,0.212507,0.21352,0.48579,0.461656,2.38637,0.871913
25000000,29,25000000,2639,100,0,0.762513,0.0935439,0.00126808,0.237336,0.057239,0.836681,0.240337,1.22098,0.459446
25000000,30,25000000,2639,100,0,0.945397,0.235986,0.135306,0.206474,0.0885188,0.70936,0.374923,1.86951,0.448844
25000000,31,25000000,2639,100,0,0.617538,0.0171754,0.212405,0.212596,0.0292863,0.573702,0.435008,1.39545,0.50661
25000000,32,25000000,2639,100,0,0.946522,0.0648193,0.0212221,0.243087,0.0650378,0.797651,0.288305,1.47135,0.452373
25000000,33,25000000,2639,100,0,0.553403,0.0952772,0.12337,0.158323,0.00422883,0.711254,0.34977,0.864358,0.404801
25000000,34,25000000,2639,100,0,0.908966,0.216813,0.183326,0.228181,0.142254,0.611595,0.439072,2.39187,0.652051
25000000,35,25000000,2639,100,0,0.881355,0.21381,0.243519,0.240903,0.152543,0.600606,0.446012,2.64084,0.750155
25000000,36,25000000,2639,100,0,0.828667,0.0680415,0.247703,0.0415044,0.104762,0.262978,0.318328,0.613308,0.247792
25000000,37,25000000,2639,100,0,0.607875,0.227237,0.173912,0.138167,0.171151,0.489958,0.458206,2.10733,0.822505
25000000,38,25000000,2639,100,0,0.554734,0.104219,0.0545942,0.2258,0.168165,0.574839,0.451227,2.34821,0.860413
25000000,39,25000000,2639,100,0,0.878451,0.204677,0.0733889,0.0446424,0.151394,0.305798,0.357937,0.784674,0.291694
25000000,40,25000000,2639,100,0,0.844557,0.0434506,0.172289,0.0651037,0.17216,0.252747,0.324041,0.932603,0.363129
25000000,41,25000000,2639,100,0,0.540785,0.196337,0.0804665,0.0371976,0.131603,0.518757,0.449578,1.632,0.485866
25000000,42,25000000,2639,100,0,0.843529,0.0877445,0.246421,0.182534,0.187125,0.476317,0.448275,1.59118,0.684779
25000000,43,25000000,2639,100,0,0.78283,0.220153,0.222204,0.0267561,0.163862,0.290261,0.350959,0.868348,0.387129
25000000,44,25000000,2639,100,0,0.670229,0.249349,0.0670593,0.0934026,0.219644,0.456612,0.441219,1.39224,0.682328
25000000,45,25000000,2639,100,0,0.593159,0.0694188,0.133297,0.0744474,0.0812986,0.429329,0.412653,0.775691,0.349168
25000000,46,25000000,2639,100,0,0.933475,0.143655,0.0630303,0.168151,0.216613,0.469117,0.450805,1.75277,0.649335
25000000,47,25000000,2639,100,0,0.664016,0.112753,0.206888,0.0176301,0.117459,0.262221,0.341833,1.28739,0.343184
25000000,48,25000000,2639,100,0,0.505999,0.220857,0.0167127,0.0711698,0.0644087,0.758242,0.320475,1.13948,0.425158
25000000,49,25000000,2639,100,0,0.826738,0.0368704,0.142068,0.0339282,0.0447157,0.322471,0.340951,0.398713,0.126058
25000000,50,25000000,2639,100,0,0.92225,0.231482,0.155373,0.0553315,0.136929,0.331565,0.365913,0.643696,0.278399
25000000,51,25000000,2639,100,0,0.688749,0.0810059,0.189346,0.245539,0.173529,0.532399,0.451342,1.78947,0.93168
25000000,52,25000000,2639,100,0,0.53765,0.0890965,0.151266,0.134621,0.046457,0.554756,0.443137,1.55496,0.47352
25000000,53,25000000,2639,100,0,0.749464,0.0664491,0.0393143,0.102564,0.0913358,0.538462,0.423735,0.874368,0.2844
25000000,54,25000000,2639,100,0,0.529198,0.128298,0.169687,0.0562615,0.236395,0.286472,0.383704,3.14594,0.788529
25000000,55,25000000,2639,100,0,0.942441,0.0721169,0.178837,0.227206,0.115341,0.66313,0.38727,1.03921,0.544333
25000000,56,25000000,2639,100,0,0.916311,0.0733025,0.0304021,0.127478,0.13449,0.462675,0.417293,0.751082,0.367788
25000000,57,25000000,2639,100,0,0.539069,0.233613,0.142063,0.165242,0.222105,0.517241,0.464992,2.71483,1.15656
25000000,58,25000000,2639,100,0,0.752735,0.225725,0.143754,0.0371289,0.00830233,0.629405,0.36227,0.384289,0.17474
25000000,59,25000000,2639,100,0,0.815934,0.0790598,0.0320348,6.90543e-05,0.0353233,0.228117,0.236158,0.131708,0.0626723
25000000,60,25000000,2639,100,0,0.538007,0.0022347,0.0960283,0.244174,0.164767,0.50701,0.461426,2.34281,0.834637
25000000,61,25000000,2639,100,0,0.919182,0.0386881,0.109599,0.221003,0.227553,0.46798,0.458052,2.22195,0.837062
25000000,62,25000000,2639,100,0,0.947579,0.160462,0.152084,0.0870084,0.014295,0.817355,0.214187,0.211657,0.131962
25000000,63,25000000,2639,100,0,0.737263,0.153492,0.127825,0.233025,0.0207977,0.818871,0.261426,1.2523,0.474518
25000000,64,25000000,2639,100,0,0.929129,0.0614737,0.152772,0.0132476,0.219554,0.0613869,0.1,1.05366,0.324744
25000000,65,25000000,2639,100,0,0.600172,0.224717,0.0517267,0.161033,0.240297,0.525199,0.472814,3.87935,0.977991
25000000,66,25000000,2639,100,0,0.562216,0.00258081,0.201335,0.0252803,0.177484,0.0871542,0.1324,0.692922,0.453503
25000000,67,25000000,2639,100,0,0.605498,0.0655123,0.14892,0.0637873,0.168491,0.295567,0.356365,0.909276,0.484535
25000000,68,25000000,2639,100,0,0.821543,0.215249,0.136235,0.182666,0.00137382,0.871163,0.189149,0.779272,0.319121
25000000,69,25000000,2639,100,0,0.500542,0.0980805,0.090203,0.127958,0.241216,0.429329,0.456212,2.70859,0.883047
25000000,70,25000000,2639,100,0,0.932724,0.127478,0.138833,0.0426615,0.0135677,0.647215,0.288535,0.0878202,0.0799324
25000000,71,25000000,2639,100,0,0.881994,0.0669039,0.00760532,0.0255943,0.162721,0.196665,0.249732,0.442247,0.244288
25000000,72,25000000,2639,100,0,0.853869,0.193113,0.011255,0.105242,0.0954894,0.601743,0.394939,0.633403,0.294904
25000000,73,25000000,2639,100,0,0.902808,0.244718,0.0522146,0.0233987,0.164803,0.228117,0.281557,0.487157,0.27121
25000000,74,25000000,2639,100,0,0.823524,0.229434,0.0467287,0.194167,0.0730496,0.741948,0.334586,1.13424,0.445421
25000000,75,25000000,2639,100,0,0.86795,0.105129,0.118556,0.0453463,0.159469,0.231148,0.303336,0.884494,0.300367
25000000,76,25000000,2639,100,0,0.766098,0.00924626,0.0449506,0.16901,0.185954,0.477454,0.444095,1.40836,0.575953
25000000,77,25000000,2639,100,0,0.90266,0.0406011,0.233921,0.0575072,0.0237931,0.518757,0.352492,0.188637,0.120718
25000000,78,25000000,2639,100,0,0.668029,0.23681,0.249889,0.0699081,0.014674,0.586586,0.414225,0.890625,0.356605
25000000,79,25000000,2639,100,0,0.713296,0.146429,0.0564409,0.0380475,0.0299925,0.651383,0.366986,0.532933,0.160503
25000000,80,25000000,2639,100,0,0.797401,0.164261,0.0353816,0.00483243,0.0917957,0.351648,0.350498,0.354532,0.163113
25000000,81,25000000,2639,100,0,0.504811,0.0977796,0.0390095,0.23763,0.094067,0.724517,0.365031,2.02643,0.697108
25000000,82,25000000,2639,100,0,0.878639,0.242231,0.0399407,0.0260202,0.0289521,0.621448,0.346741,0.257419,0.099412
25000000,83,25000000,2639,100,0,0.917957,0.129463,0.00774422,0.230914,0.222561,0.529367,0.453336,1.88247,0.852182
25000000,84,25000000,2639,100,0,0.553221,0.0486625,0.216677,0.223594,0.0755539,0.516484,0.45694,2.04047,0.732586
25000000,85,25000000,2639,100,0,0.53188,0.0562286,0.137126,0.234711,0.218536,0.465328,0.47684,5.04394,1.14023
25000000,86,25000000,2639,100,0,0.738326,0.143136,0.0306886,0.186074,0.139004,0.6169,0.425805,1.64332,0.572933
25000000,87,25000000,2639,100,0,0.717434,0.233181,0.135725,0.196403,0.118801,0.622584,0.417293,1.36998,0.672464
25000000,88,25000000,2639,100,0,0.579216,0.104185,0.099012,0.191459,0.00882289,0.766199,0.299923,0.732296,0.435027
25000000,89,25000000,2639,100,0,0.768209,0.00573627,0.110958,0.00102647,0.183449,0.00909435,0.0172929,5.22122,0.269379
25000000,90,25000000,2639,100,0,0.606706,0.00162927,0.133741,0.0470279,0.147922,0.192118,0.255138,0.618984,0.351162
25000000,91,25000000,2639,100,0,0.945341,0.0813653,0.105373,0.132865,0.0945095,0.580523,0.405637,0.697725,0.308263
25000000,92,25000000,2639,100,0,0.652982,0.0620258,0.0724068,0.160998,0.0428062,0.705191,0.35023,0.77748,0.345702
25000000,93,25000000,2639,100,0,0.630747,0.243122,0.161834,0.0481436,0.129118,0.473664,0.437577,1.19318,0.5036
25000000,94,25000000,2639,100,0,0.598764,0.225946,0.0873798,0.179898,0.185727,0.600227,0.437002,1.90866,0.907328
